"","screen_name","created_at","all_afinn_words","all_afinn_values","all_custom_words","all_custom_values","afinn_score","custom_score"
"35","JohnWorrall11",2021-08-18 18:53:06,"gallantly, block, medal, important, honest, fair, chance, challenge, suspected, hope, pressure, big, active, stop, greater, risk, consents, laugh, no, interesting, stop, fair, bright, stop, consents, no, no, blocked, blocked, blocking, consent, sorry, heartfelt, good, clean","3, -1, 3, 2, 2, 2, 2, -1, -1, 2, -1, 1, 1, -1, 3, -2, 2, 1, -1, 2, -1, 2, 1, -1, 2, -1, -1, -1, -1, -1, 2, -1, 3, 3, 2","challenged, challenge, greater, risk, more, more, most, cant, cant, least, more, most, good, down","-1, -1, 1, -1, 1, 1, 1, -1, -1, -1, 1, 1, 1, -1",0.71,0
"36","JykeeseJohnson_",2021-08-18 18:06:21,"shoot","-1","most","1",-1,0
"37","ken67059412",2021-08-18 18:34:24,"no, pay, no, confidence, hope","-1, -1, -1, 2, 2","work","1",0.2,0
"38","kesharalou_",2021-08-18 18:26:10,"shocked, yes, bitch","-2, 1, -5","work","1",-2,0
"39","KingSpyda_",2021-08-18 18:18:43,"shit, growing, crazy, crazy, lmfao, shit, weak","-4, 1, -2, -2, 4, -4, -2","growing, down, weak","1, -1, -1",-1.29,0
"40","KngPharaoh",2021-08-18 18:00:40,"chance","2","more","1",2,0
"41","kwality_",2021-08-18 18:40:05,"approved","2","work","1",2,0
"42","lildaay_",2021-08-18 19:00:15,"dreading","-2","more","1",-2,0
"43","LoLowBeatz",2021-08-18 18:59:00,"like, bitch, hopeless, win, war, shit, thank, stop, like","2, -5, -2, 4, -2, -4, 2, -1, 2","down, more, beats","-1, 1, 1",-0.44,0
"44","lucid_ste3l",2021-08-18 18:11:12,"win","4","cant","-1",4,0
"45","madifromthetrip",2021-08-18 17:35:41,"weird","-2","cant","-1",-2,0
"46","MakotoRaven1",2021-08-18 18:58:07,"like, like","2, 2","fell","-1",2,0
"47","MalucaLoca13",2021-08-18 18:45:14,"like, shit, like, piss","2, -4, 2, -4","down","-1",-1,0
"48","Mikey47",2021-08-18 17:27:46,"want, fitness, love, appreciate","1, 1, 3, 2","cant","-1",1.75,0
"49","MissyGreyhound",2021-08-18 19:14:25,"dream, bitches, doom, like, swift, damn, yes, hurt","1, -5, -2, 2, 2, -4, 1, -2","record","1",-0.88,0
"50","Mitchel62120526",2021-08-18 18:14:37,"wrong, yes","-2, 1","largest, more","1, 1",-0.5,0
"51","Movin1077fm",2021-08-18 18:47:01,"charming, cried","3, -2","more","1",0.5,0
"52","MrComical_L2daJ",2021-08-18 18:18:13,"active, cancelling, god, downside, benefit, like","1, -1, 1, -2, 2, 2","cant","-1",0.5,0
"53","NorfolkCountyFA",2021-08-18 17:35:00,"support","2","more","1",2,0
"54","notbangalore",2021-08-18 18:25:03,"no, want, amazing","-1, 1, 4","cant","-1",1.33,0
"55","OgFOMK",2021-08-18 19:07:26,"crying, care, want, love, loving, fool","-2, 2, 1, 3, 2, -2","none","1",0.67,0
"56","PortsVASchools",2021-08-18 19:07:59,"congratulations, outstanding","2, 5","high","1",3.5,0
"57","rebecca_spur",2021-08-18 19:01:53,"please, lmfao, fit, shit, embarrassing, lmfao","1, 4, 1, -4, -2, 4","cant","-1",0.67,0
"58","rickycassh",2021-08-18 19:05:03,"pretty, childish","1, -2","cant, cant, cant","-1, -1, -1",-0.5,0
"59","RussellB1ggs",2021-08-18 18:33:18,"sadly, ruins, worry, lost, ruins, polluted, disturbing, grey, polluted, clear","-2, -2, -3, -3, -2, -2, -2, -1, -2, 1","below, above","-1, 1",-1.8,0
"60","Saleen_MartinTV",2021-08-18 17:40:31,"like, good, excited, hilarious, hard, great, ass, bitch","2, 3, 3, 2, -1, 3, -4, -5","good, hard","1, -1",0.38,0
"61","Santonyo9",2021-08-18 18:18:10,"stop","-1","high, work","1, 1",-1,0
"62","SilencedSymba",2021-08-18 18:41:22,"huge, smiling","1, 2","down","-1",1.5,0
"63","slnash4u",2021-08-18 18:55:33,"unbelievable","-1","none","1",-1,0
"64","SSGClo",2021-08-18 18:39:54,"struggle, fuck, no, rich, honest, no, struggle","-2, -4, -1, 2, 2, -1, -2","cant, most","-1, 1",-0.86,0
"65","subschneider",2021-08-18 17:52:49,"interest, rich, jesus","1, 2, 1","none","1",1.33,0
"66","TakeRisk1998",2021-08-18 19:03:14,"best, better, bad, die, hard, love, joke, shit, lol","3, 2, -3, -3, -1, 3, 2, -4, 3","best, better, bad, hard","1, 1, -1, -1",0.22,0
"67","TarpeyPhoto",2021-08-18 17:36:28,"appreciation, shit","2, -4","most, work","1, 1",-1,0
"68","TheBlackNerd",2021-08-18 18:24:41,"ill","-2","work","1",-2,0
"69","thektron",2021-08-18 18:22:56,"unclear, pretty, cancel, determined, drop, good","-1, 1, -1, 2, -1, 3","least, drop, good","-1, -1, 1",0.5,0
"70","thePETAlife",2021-08-18 19:01:28,"outreach, outreach, outreach","2, 2, 2","work","1",2,0
"71","TheWakerBaker",2021-08-18 18:22:51,"cool, lol, please, noble","1, 3, 1, 2","down","-1",1.75,0
"72","tmj_orf_adv",2021-08-18 18:48:38,"recommend","2","more","1",2,0
"73","tmj_orf_itpm",2021-08-18 18:59:08,"great, fit","3, 1","more","1",2,0
"74","tmj_vap_util",2021-08-18 19:02:59,"want","1","work","1",1,0
"75","TonyEppsJr_",2021-08-18 18:04:22,"sorry, no, shoot","-1, -1, -1","cant","-1",-1,0
"76","will_357",2021-08-18 17:40:08,"excuse","-1","more","1",-1,0
"77","WODUplaylist",2021-08-18 17:25:48,"wasted, clean, love, clean, clean, grant, matter","-2, 2, 3, 2, 2, 1, 1","down, down","-1, -1",1.29,0
"78","wolfie_biker1",2021-08-18 18:55:26,"block, sunshine, hurt, wrong","-1, 2, -2, -2","grow","1",-0.75,0
