"","screen_name","created_at","all_afinn_words","all_afinn_values","all_custom_words","all_custom_values","afinn_score","custom_score"
"1","_cmholmes",2021-08-18 17:34:00,"thank, glad, perfect, clean, no","2, 3, 3, 2, -1","work","1",1.8,0
"2","_diaawiaa",2021-08-18 17:48:25,"hope, damn, lmfao","2, -4, 4","work","1",0.67,0
"3","_JoeDaHoe",2021-08-18 19:04:37,"no, true, crazy","-1, 2, -2","cant, cant","-1, -1",-0.33,0
"4","_RachaelTV",2021-08-18 17:27:25,"lol","3","low","-1",3,0
"5","_ReginaaaaB",2021-08-18 18:03:33,"no, mad, nerves, worth, damn","-1, -3, -1, 2, -4","more","1",-1.4,0
"6","_skvnny",2021-08-18 17:57:03,"funky, ass, want","2, -4, 1","most","1",-0.33,0
"7","1_Dolo757",2021-08-18 19:01:29,"lol, leave, hurt, want, best, challenge","3, -1, -2, 1, 3, -1","best, challenge","1, -1",0.5,0
"8","1kevgriff",2021-08-18 17:36:22,"sadly, cancel","-2, -1","more","1",-1.5,0
"9","Bassfield_EF5",2021-08-18 18:51:16,"risks, strong, immune, matter","-2, 2, 1, 1","risks, beat, strong","-1, 1, 1",0.5,0
"10","BeforeYouDo_LLC",2021-08-18 18:19:34,"effectively","2","more","1",2,0
"11","bennsintheroad",2021-08-18 17:54:14,"inspirational, like, no, missed","2, 2, -1, -2","record","1",0.25,0
"12","bmrjames",2021-08-18 17:53:15,"awful, disgrace","-3, -2","most","1",-2.5,0
"13","briannaac__",2021-08-18 17:28:42,"piss","-4","more","1",-4,0
"14","BrittonsEA",2021-08-18 18:00:36,"detached, like, free, agreed, detached, like, free","-1, 2, 1, 1, -1, 2, 1","more, more","1, 1",0.71,0
"15","BshpScottyScott",2021-08-18 18:40:09,"pray, god","1, 1","most","1",1,0
"16","ByronBreckenri1",2021-08-18 18:29:43,"important","2","more","1",2,0
"17","CharlieKeohane",2021-08-18 19:13:51,"ha, ha, ha, like, messed, huge, help, wish, unified, help","2, 2, 2, 2, -2, 1, 2, 1, 1, 2","more, more","1, 1",1.3,0
"18","ChartwayArena",2021-08-18 18:55:33,"please","1","more","1",1,0
"19","cityofPortsVA",2021-08-18 18:01:25,"awards","3","more","1",3,0
"20","CoastalVARE",2021-08-18 17:41:16,"pay","-1","most","1",-1,0
"21","daveblev",2021-08-18 18:32:13,"damn, sucks, cuts, pain, hope, better","-4, -3, -1, -2, 2, 2","pain, better","-1, 1",-1,0
"22","Dee_Excelsior",2021-08-18 18:57:37,"win, lol, perfect, like","4, 3, 3, 2","more","1",3,0
"23","devinpatterson_",2021-08-18 18:58:36,"lol, lame","3, -2","most","1",0.5,0
"24","dolly_birds85",2021-08-18 18:11:59,"yes, love, wrong, great","1, 3, -2, 3","cannot","-1",1.25,0
"25","ericagreenway",2021-08-18 18:41:31,"recommend","2","work","1",2,0
"26","foXybRown_",2021-08-18 19:00:48,"no, like","-1, 2","more","1",0.5,0
"27","GavinCaney",2021-08-18 18:58:53,"bomb","-1","drops","-1",-1,0
"28","HimarshaJ",2021-08-18 17:29:40,"amazed, chance","2, 2","high, high, high","1, 1, 1",2,0
"29","hmeducate",2021-08-18 18:57:37,"challenge, awesome, best, appreciate","-1, 4, 3, 2","challenge, best","-1, 1",2,0
"30","IAM_ATCXIII",2021-08-18 19:00:39,"dreading","-2","more","1",-2,0
"31","J_Smiviff",2021-08-18 18:53:53,"depressing","-2","more","1",-2,0
"32","JamesHowes7",2021-08-18 17:50:15,"stopped","-1","rose, rose","1, 1",-1,0
"33","JCarr757",2021-08-18 19:06:31,"want, win","1, 4","cant","-1",2.5,0
"34","JimCWalker",2021-08-18 17:44:34,"significant, alive, war, debt","1, 1, -2, -2","work","1",-0.5,0
