30,laughtherapist,2021-10-19T18:02:27Z,51710005100,i look forward to my daughters calls from college when no money is involved rachelxhines ,36.830177,-76.2613,5mi,no,-1,NA,NA,-1,NA
31,ChazonaAtHome,2021-10-19T18:02:26Z,51710005100,choose fundamentalsactive communityutility strong team transparency marketing decentralotto delohttpstcozwtdmjvo6mniu mochi space trc fil lem comfy xend dfy sfuel cyc snbl hmng cake riskmoon klt,36.830177,-76.2613,5mi,strong,2,strong,1,2,1
32,EOSSurfaces,2021-10-19T18:02:24Z,51710005100,this iipw lets not forget about the team on the front lines environmental services makeyourintentioninfectionprevention eoscu apic httpstcoh8bjusip6u httpstconuk5zhsvdq,36.830177,-76.2613,5mi,forget,-1,NA,NA,-1,NA
33,markp8888,2021-10-19T18:02:23Z,51710005100,aidso67 alimacno johnnymerceruk reported and blocked,36.830177,-76.2613,5mi,blocked,-1,NA,NA,-1,NA
34,ChesHealthcare,2021-10-19T18:02:22Z,51710005100,congratulations to dr stephen lin general surgeon for being named a coastal virginia magazine top doc for four years to learn more visit httpstco9hkajnlbbo httpstcocu2c9kqj1v,36.830177,-76.2613,5mi,"congratulations, top","2, 2",more,1,2,1
35,OnlyaLee6,2021-10-19T18:02:09Z,51710005100,life amazing we love it,36.830177,-76.2613,5mi,"amazing, love","4, 3",NA,NA,3.5,NA
36,MAACHeatandCool,2021-10-19T18:02:07Z,51710005100,we love hearing positive reviews from you heres another good one by daisys floristairconditioning achvac heating cooling airsourceheatpumpnorfolkbusiness norwich norfolk kingslynnthetford httpstcoqt0moxqqzs,36.830177,-76.2613,5mi,"love, positive, good","3, 2, 3","positive, good","1, 1",2.67,1
37,virginianpilot,2021-10-19T18:02:07Z,51710005100,to identify the most popular girls names unique to every state 247 tempo calculated the location quotient using name frequency data by year and by state from the social security administration considering only names with 10 or more entries httpstcomfjodkeeyc,36.830177,-76.2613,5mi,popular,3,"most, more","1, 1",3,1
38,agent_shave,2021-10-19T18:02:00Z,51710005100,the travel safety razor packs away easily into a small compact case making it the ideal solution if you work away from home or travel regularly and want to still enjoy a traditional wet shavehttpstcok3mhdh22di httpstcoggcmdvcf1n,36.830177,-76.2613,5mi,"safety, solution, want, enjoy","1, 1, 1, 2","work, enjoy","1, 1",1.25,1
39,Luke_oX,2021-10-19T18:01:53Z,51710005100,ggpedroperes what if we get to pilot bt in a future playable quest,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
40,musicnerdzradio,2021-10-19T18:01:53Z,51710005100,lauryn hill  tell him,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
41,MystikPiglit,2021-10-19T18:01:51Z,51710005100,regcrawford3  ours are under the rowan but still not tempted  ,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
42,ShiresRes,2021-10-19T18:01:46Z,51710005100,sale agreed prior to marketing located on the popular comet way development in mildenhall this extremely well presented detached bungalow was snapped up prior to active marketing to a preregistered and qualified buyer looking to sell call 01638 712132 for a free valuation httpstcoaexd3jqjvk,36.830177,-76.2613,5mi,"agreed, popular, detached, active, free","1, 3, -1, 1, 1",NA,NA,1,NA
43,cityofPortsVA,2021-10-19T18:01:34Z,51710005100,emanuel ame church is sponsoring a free food giveaway each month the next event will be held wednesday october 20 find details in the flyer httpstcoixjvdyibnr,36.830177,-76.2613,5mi,free,1,NA,NA,1,NA
44,OgFOMK,2021-10-19T18:01:34Z,51710005100,privatizeedu al gor rithms rhythmal gore rhythmi remember the movie gor i watched it and it was not as entertaining as ringo starrs caveman,36.830177,-76.2613,5mi,entertaining,2,NA,NA,2,NA
45,ImanSynch,2021-10-19T18:01:23Z,51710005100,be sure to go and shop tvas  httpstcoughrx74ya3,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
