"","screen_name","created_at","all_afinn_words","all_afinn_values","all_custom_words","all_custom_values","afinn_score","custom_score"
"141","jambocanary",2021-08-20 16:51:52,"sad, admitted, importance, good, agreement, threatened","-2, -1, 2, 3, 1, -2","good","1",0.17,0.41
"142","Jayy_Lamar15",2021-08-20 17:05:22,"no, certain, like, die, stop","-1, 1, 2, -3, -1","certain","1",-0.4,0
"143","JeffEdmondsonWX",2021-08-20 16:55:54,"like","2","more","1",2,0
"144","Jesssss302",2021-08-20 18:29:50,"like, accepted, childish, ill, no, no, fire, worth, matter, dick","2, 1, -2, -2, -1, -1, -2, 2, 1, -4","cant, more, cant, least","-1, 1, -1, -1",-0.6,0
"150","johncran11",2021-08-20 17:47:58,"sick, help, success, proud, missed","-2, 2, 2, 2, -2","success","1",0.4,0.45
"152","Jotan70",2021-08-20 17:57:25,"good, pay","3, -1","good","1",1,0.71
"153","Just_JohnMo",2021-08-20 16:51:08,"good, better, god, fortunate, good, lol","3, 2, 1, 2, 3, 3","good, better, less, good","1, 1, -1, 1",2.33,1.22
"156","keithparnell",2021-08-20 18:24:08,"big, thanks","1, 2","delivering","1",1.5,0
"157","kingbeeb_",2021-08-20 17:31:12,"like, better","2, 2","better","1",2,0.71
"159","kingmeeeech",2021-08-20 16:52:56,"shocked, like, no, no","-2, 2, -1, -1","most","1",-0.5,0
"160","KingNola1",2021-08-20 18:29:08,"rewarding, integrity, mad, wrong","2, 2, -3, -2","rewarding","1",-0.25,0.5
"162","KingSpyda_",2021-08-20 17:41:05,"fit, great, shit, like, scared, calm, weak, nervous, calm, shit, lmfao","1, 3, -4, 2, -2, 2, -2, -2, 2, -4, 4","more, weak","1, -1",0,-0.3
"169","KingWynn_5",2021-08-20 18:28:08,"good","3","cant, good","-1, 1",3,1
"170","KJRowe6",2021-08-20 18:33:19,"crisis, like, odd","-3, 2, -2","work","1",-1,0
"171","KmgFn",2021-08-20 16:54:40,"solid, good","2, 3","solid, good","1, 1",2.5,1.41
"172","KngPharaoh",2021-08-20 18:00:40,"authority, help","1, 2","more, more","1, 1",1.5,0
"173","KTJanePA",2021-08-20 18:27:08,"pretty, sore, good, luck","1, -1, 3, 3","more, good","1, 1",1.5,0.5
"174","kyle_ganger",2021-08-20 17:53:37,"important","2","fall","-1",2,0
"175","lashladyyy",2021-08-20 17:29:07,"better, thankful, good, peace","2, 2, 3, 2","better, good","1, 1",2.25,1
"176","lenamarie06",2021-08-20 17:16:12,"hope","2","higher","1",2,0
"177","Leo__Horse",2021-08-20 18:22:43,"enjoying","2","enjoying","1",2,1
"178","LexiiSoIcy",2021-08-20 17:17:37,"free","1","grow","1",1,0
"179","Lildv15",2021-08-20 18:23:29,"want","1","independent","1",1,0
"180","LMasonPhoto",2021-08-20 17:07:19,"no, hard","-1, -1","cant, hard","-1, -1",-1,-0.71
"182","madisonateeter",2021-08-20 17:55:11,"thank, god, lol, enjoy, passively, wonderful","2, 1, 3, 2, -1, 4","enjoy, down","1, -1",1.83,0.41
"184","majinlord_",2021-08-20 17:15:29,"shit, please, ugly, ruins, carefree, shit","-4, 1, -3, -2, 1, -4","cant, cant","-1, -1",-1.83,0
"189","mchriswilson",2021-08-20 18:03:18,"hard, like","-1, 2","hard","-1",0.5,-0.71
"190","meljdooley",2021-08-20 18:16:32,"perfect","3","low, more","-1, 1",3,0
"191","michellegant76",2021-08-20 18:08:39,"good, luck, happiness, adventure, lovely","3, 3, 3, 2, 3","good","1",2.8,0.45
"192","millianarie",2021-08-20 18:31:00,"shit, love, good","-4, 3, 3","good","1",0.67,0.58
"194","montana_fetty",2021-08-20 16:45:09,"shit, trust, good, good","-4, 1, 3, 3","trust, good, good","1, 1, 1",0.75,1.5
"195","Mostly_THC",2021-08-20 17:38:58,"bad, blocked, shit, fake, bitch, stop, shit, fake, miserable","-3, -1, -4, -3, -5, -1, -4, -3, -3","bad, most","-1, 1",-3,-0.33
"199","mrsdp8",2021-08-20 17:39:59,"save, excellent, like, like, lol, failed, alone, bad, lazy, indifferent, incompetence, failure, failures, want, questioning, like, like, failure, resign, agree, hard, win, win, stunning, win, jealous","2, 3, 2, 2, 3, -2, -2, -3, -1, -2, -2, -2, -2, 1, -1, 2, 2, -2, -1, 1, -1, 4, 4, 4, 4, -2","excellent, work, work, fell, bad, fell, failure, work, failure, hard","1, 1, 1, -1, -1, -1, -1, 1, -1, -1",0.42,-0.59
"206","mycathardy",2021-08-20 17:45:39,"beautiful, agree, happy, thank","3, 1, 3, 2","more","1",2.25,0
"209","NerdLyrical",2021-08-20 17:14:50,"thanks, best, true, best, kind","2, 3, 2, 3, 2","work, best, best","1, 1, 1",2.4,0.89
"212","NFrom71",2021-08-20 16:42:16,"soothing","3","work","1",3,0
"213","NickGreyhound1",2021-08-20 18:09:48,"improves, like","2, 2","improves","1",2,0.71
"214","NoelSan101",2021-08-20 18:27:14,"like, better","2, 2","better","1",2,0.71
"215","NorfolkAdmirals",2021-08-20 16:39:51,"excited","3","more","1",3,0
"216","NorfolkDryClean",2021-08-20 16:41:39,"help","2","more","1",2,0
"217","NorfolkVA",2021-08-20 18:14:27,"awards, awards","3, 3","more","1",3,0
"218","ODUArtsLetters",2021-08-20 17:49:52,"thanks, amazing, good","2, 4, 3","good","1",3,0.58
"219","oduoir",2021-08-20 17:45:32,"join","1","more","1",1,0
"220","ODUSCI",2021-08-20 17:01:51,"interests, strong, effective","1, 2, 2","strong","1",1.67,0.58
"221","Og__papi",2021-08-20 17:02:05,"terrible, damn","-3, -4","terrible","-1",-3.5,-0.71
"222","OgFOMK",2021-08-20 16:47:43,"wrong, matter, better, restore, fuck","-2, 1, 2, 1, -4","better","1",-0.4,0.45
"225","Oliver78Jacob",2021-08-20 18:01:00,"won, love, want, bore, bored, gag, gag, perfect, yeah, better, fucking, like","3, 3, 1, -2, -2, -2, -2, 3, 1, 2, -4, 2","better","1",0.25,0.29
"228","OnTrackNorfolk",2021-08-20 16:40:02,"great","3","deliver","1",3,0
"229","oofatcat",2021-08-20 17:23:28,"no, loyalty, fan","-1, 3, 3","least","-1",1.67,0
"230","pantchez",2021-08-20 17:45:55,"refuse, great","-2, 3","cant, more","-1, 1",0.5,0
"231","pjk54",2021-08-20 18:10:31,"crisis","-3","most","1",-3,0
"232","PLSCMAS2",2021-08-20 17:01:27,"better, good","2, 3","better, good, more","1, 1, 1",2.5,1.41
"233","pomijo1992",2021-08-20 16:55:13,"bad, glad, like, like, no, dead","-3, 3, 2, 2, -1, -3","bad, beat","-1, 1",0,-0.41
"237","PriorityChevy",2021-08-20 18:04:37,"desire","1","more, more","1, 1",1,0
"238","ProdByCHilfiger",2021-08-20 17:30:51,"rage","-2","beats","1",-2,0
"239","PThrifting",2021-08-20 17:29:21,"good, share, loving","3, 1, 2","good","1",2,0.58
"240","ra_childish",2021-08-20 18:02:13,"like, damn, fine","2, -4, 2","fine","1",0,0.58
"241","Ramdude75",2021-08-20 16:55:31,"good","3","good","1",3,1
"242","raymend_noodles",2021-08-20 17:43:15,"hard, like, like, blocks, marvel, blocked","-1, 2, 2, -1, 3, -1","hard, above","-1, 1",0.67,-0.41
"245","rayrouson",2021-08-20 18:29:41,"enjoying, top","2, 2","enjoying","1",2,0.71
"246","Reeq___",2021-08-20 17:59:59,"bad, no, pay, fool, hard, niggas","-3, -1, -1, -2, -1, -5","bad, hard","-1, -1",-2.17,-0.82
"251","rell_just",2021-08-20 16:49:46,"hope, better","2, 2","better","1",2,0.71
"252","RepElaineLuria",2021-08-20 18:20:03,"congratulations, success","2, 2","success","1",2,0.71
"253","robyounce",2021-08-20 17:13:43,"happy, hope, great","3, 2, 3","cant","-1",2.67,0
"254","roderickgraham",2021-08-20 18:05:31,"help, dirty, want, care, suing, crazy, like, wish, embrace, lack, want, excuse, share, wealth, fortunate, committed, want, freedom, increase, effective","2, -2, 1, 2, -2, -2, 2, 1, 1, -2, 1, -1, 1, 3, 2, 1, 1, 2, 1, 2","more, most, more, achieved, increase","1, 1, 1, 1, 1",0.7,0.22
"265","rumdrinker71",2021-08-20 16:47:55,"solid","2","solid","1",2,1
"266","RussellB1ggs",2021-08-20 17:03:51,"stronger, good","2, 3","stronger, good","1, 1",2.5,1.41
"267","SagaciousJae",2021-08-20 17:14:06,"good, clean","3, 2","good","1",2.5,0.71
"268","SamStroVT",2021-08-20 18:24:51,"crazy, better","-2, 2","better","1",0,0.71
"269","Samuelwarrenjr",2021-08-20 18:09:15,"true, affected, good, luck, safe, enjoy","2, -1, 3, 3, 1, 2","more, good, enjoy","1, 1, 1",1.67,0.82
"272","SandManReU",2021-08-20 18:02:21,"hate, wtf, shock, drop","-3, -4, -2, -1","dropping, drop","-1, -1",-2.5,-0.5
"275","Santonyo9",2021-08-20 18:19:16,"good, luck","3, 3","good","1",3,0.71
"276","Shawn0071986",2021-08-20 18:24:50,"fuck, fight, racism, racism, like, hate","-4, -1, -3, -3, 2, -3","cant, more","-1, 1",-2,0
"278","SimplyAchieve",2021-08-20 16:44:35,"care, care, wishes, join, celebrate","2, 2, 1, 1, 3","more, cant","1, -1",1.8,0
"280","SirTreyDay",2021-08-20 17:32:59,"like, terrible, pretty, failed, worst, certain, top","2, -3, 1, -2, -3, 1, 2","terrible, worst, certain","-1, -1, 1",-0.29,-0.76
"282","SJArmentrout",2021-08-20 18:02:39,"stupid","-2","cant","-1",-2,0
"283","Smparkerstone",2021-08-20 17:42:42,"good","3","good","1",3,1
"284","SpeedWatkins",2021-08-20 17:08:00,"good, miracle, good, true","3, 4, 3, 2","more, good, good","1, 1, 1",3,1
"285","ss0phiie",2021-08-20 17:23:08,"better","2","better","1",2,1
"286","SSGClo",2021-08-20 16:57:14,"worst, like, care","-3, 2, 2","worst, less","-1, -1",0.33,-0.58
"289","stormiepassions",2021-08-20 17:23:03,"love, love, stuck, hell, hard","3, 3, -2, -4, -1","hard","-1",-0.2,-0.45
"290","subschneider",2021-08-20 17:16:49,"mess","-2","least","-1",-2,0
"291","SuperEricRogers",2021-08-20 16:51:21,"difficult, happy","-1, 3","difficult","-1",1,-0.71
"293","sutterby_jamie",2021-08-20 18:21:40,"kudos","3","enjoyed, enjoyed","1, 1",3,0
"294","SuzanneTate",2021-08-20 18:28:58,"thoughtful, beautiful, gift, wow","2, 3, 2, 4","most","1",2.75,0
"295","SweetGeek25",2021-08-20 17:18:22,"recommend, hard","2, -1","hard","-1",0.5,-0.71
"296","tavobabyy",2021-08-20 17:19:36,"lmao, alive","4, 1","more","1",2.5,0
"298","TaylorBono",2021-08-20 18:33:08,"safety, convinced, safe, good","1, 1, 1, 3","good","1",1.5,0.5
"299","tegadaplug23",2021-08-20 18:09:05,"shit, lol, lol","-4, 3, 3","record","1",0.67,0
"301","TFC_Recycling",2021-08-20 17:50:00,"thank, great, happy, help, accepted","2, 3, 3, 2, 1","below","-1",2.2,0
"303","TheBlackNerd",2021-08-20 16:54:07,"like, confused, beautiful, amazing, messed, pretty, empty, idiot, pretty, dreary, yes, hell, yes, insult, like, sad, hope, better","2, -2, 3, 4, -2, 1, -1, -3, 1, -2, 1, -4, 1, -2, 2, -2, 2, 2","better","1",0.06,0.24
"313","theworstdev",2021-08-20 16:43:46,"no","-1","challenging","-1",-1,0
"314","Tim_Lives_Here",2021-08-20 16:43:10,"hard","-1","hard","-1",-1,-1
"315","tLindseey_",2021-08-20 18:29:49,"like, worse, lonely","2, -3, -2","worse","-1",-1,-0.58
"317","tmj_orf_adv",2021-08-20 18:15:45,"like, opportunities","2, 2","opportunities","1",2,0.71
"318","tmj_orf_sales",2021-08-20 18:29:37,"want","1","work","1",1,0
"319","tmj_VA_it",2021-08-20 18:21:45,"opportunity","2","opportunity","1",2,1
"320","topsthemonkey",2021-08-20 17:36:56,"progress, progress, progress, progress, progress, unified, progress, unified, progress, progress, progress, progress, progress, progress, progress, progress","2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2","progress, progress, progress, progress, progress, progress, progress, progress, progress, progress, progress, falls, progress, progress, progress","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1",1.88,3.5
"334","ts_QweenDee",2021-08-20 17:07:01,"sad","-2","cant","-1",-2,0
"335","Turbonium2K",2021-08-20 17:26:41,"cool, haha, saved, rescue, block, lmao, supporters","1, 3, 2, 2, -1, 4, 1","more","1",1.71,0
"337","Twanlites",2021-08-20 16:57:11,"free, fools","1, -2","most","1",-0.5,0
"339","TyyNicole99",2021-08-20 17:33:24,"bitch, lol, leave, alone","-5, 3, -1, -2","beat","1",-1.25,0
"341","UssKimberly",2021-08-20 17:13:50,"leave","-1","more","1",-1,0
"342","Vincent_804",2021-08-20 16:55:59,"horrendous, like, good, luck","-3, 2, 3, 3","down, good","-1, 1",1.25,0.5
"343","virginianpilot",2021-08-20 17:17:00,"expelled, cheated, pay, hopes, ban, care, eviction, battle","-2, -3, -1, 2, -2, 2, -1, -1","delivers, slow, more, highest","1, -1, 1, 1",-0.75,0
"348","WAVY10Bob",2021-08-20 16:46:11,"great, wow, thanks, please, crisis","3, 4, 2, 1, -3","down","-1",1.4,0
"352","winging1t",2021-08-20 17:34:32,"hell, super, congratulations, fabulous, hope, enjoy","-4, 3, 2, 4, 2, 2","enjoy","1",1.5,0.41
"355","WODUplaylist",2021-08-20 17:08:23,"clean, clean, destruction, better, dread, love, hurt, bad, dream","2, 2, -3, 2, -2, 3, -2, -3, 1","down, better, bad","-1, 1, -1",0,0
"364","x_mondoo",2021-08-20 17:29:45,"shit, clear, shit, no","-4, 1, -4, -1","more","1",-2,0
"365","xKYREx",2021-08-20 16:40:00,"scared, opportunity, favored","-2, 2, 2","opportunity","1",0.67,0.58
"367","ZingherPolisci",2021-08-20 16:41:18,"pleasure, terrible, dumb, fucking","3, -3, -3, -4","terrible","-1",-1.75,-0.5
