"","screen_name","created_at","all_afinn_words","all_afinn_values","all_custom_words","all_custom_values","afinn_score","custom_score"
"1","_chenell_",2021-08-20 17:11:18,"wish, worst, enemy","1, -3, -2","cant, worst","-1, -1",-1.33,-0.58
"2","_cmholmes",2021-08-20 17:03:12,"hope, ill, stop, excited, nervous, hope, like","2, -2, -1, 3, -2, 2, 2","grew","1",0.57,0
"5","_dilla__",2021-08-20 18:19:20,"like, worse","2, -3","worse","-1",-0.5,-0.71
"6","_RachaelTV",2021-08-20 16:39:59,"strong","2","strong","1",2,1
"7","_taviontay",2021-08-20 17:50:25,"tired, fuck","-2, -4","tired","-1",-3,-0.71
"9","1_Dolo757",2021-08-20 17:50:59,"kiss, no, ass, fuck, good","2, -1, -4, -4, 3","good","1",-0.8,0.45
"11","13PaytDomschke",2021-08-20 18:26:01,"best, luck, stop, good","3, 3, -1, 3","best, good, fall","1, 1, -1",2,1
"12","AceKoopa400",2021-08-20 17:37:34,"funny, hell, risk","4, -4, -2","risk","-1",-0.67,-0.58
"14","AJRisser941",2021-08-20 17:38:09,"amazing","4","work","1",4,0
"15","AlanaDelRage",2021-08-20 17:17:45,"anxiety, like, thank, beautiful","-2, 2, 2, 3","cant","-1",1.25,0
"17","AmericasHypeman",2021-08-20 17:14:35,"great, killing, like, piss, united","3, -3, 2, -4, 1","work","1",-0.2,0
"18","AndrewStroud92",2021-08-20 17:57:11,"good","3","most, good, rely","1, 1, -1",3,1
"19","AnthonyOrtolano",2021-08-20 17:08:32,"fun","4","cant","-1",4,0
"20","aprilsunshine03",2021-08-20 18:29:54,"determined, greatest, threat, afraid, killed, drag, pressure, super, alone, hardship, sadly","2, 3, -2, -2, -3, -1, -1, 3, -2, -2, -2","greatest","1",-0.64,0.3
"26","AshleyN_Barnett",2021-08-20 18:14:03,"bad, engage, pretty, authority","-3, 1, 1, 1","bad","-1",0,-0.5
"27","BABYOILPIMP",2021-08-20 17:22:06,"certain, lmfao, niggas, expose","1, 4, -5, -1","certain","1",-0.25,0
"29","BadMysteri0",2021-08-20 18:28:52,"like","2","more","1",2,0
"30","BargainTireVA",2021-08-20 18:14:06,"important, safe, trust","2, 1, 1","trust","1",1.33,0.58
"31","BeforeYouDo_LLC",2021-08-20 17:11:47,"help, improve, attacking, supportive","2, 2, -1, 2","improve, supportive, grow","1, 1, 1",1.25,1
"32","BHGodlyGovt",2021-08-20 18:07:14,"amazing","4","grow","1",4,0
"33","BlaineStewart",2021-08-20 16:49:31,"worst, amazing, favorite","-3, 4, 2","worst","-1",1,-0.58
"35","bowes",2021-08-20 17:34:15,"hate, no, trust, care, good","-3, -1, 1, 2, 3","trust, medication, leader, good","1, -1, 1, 1",0.4,0.89
"37","brigantine72",2021-08-20 17:55:12,"excellent","3","excellent","1",3,1
"38","cafrindorrell",2021-08-20 18:12:17,"admiring, strong, worrying","3, 2, -3","strong","1",0.67,0.58
"40","CALJr8760",2021-08-20 18:22:41,"pay, terrible, shit, ridiculous","-1, -3, -4, -3","terrible","-1",-2.75,-0.5
"42","cameronself",2021-08-20 17:01:24,"better, good","2, 3","better, good, more","1, 1, 1",2.5,1.41
"43","CaptainFelch",2021-08-20 16:41:08,"enjoy, fun","2, 4","enjoy, work","1, 1",3,0.71
"44","CeCe_Montana",2021-08-20 17:17:22,"lol, crazy, hell, bitch, good, fuck","3, -2, -4, -5, 3, -4","good","1",-1.5,0.41
"45","charliesquish",2021-08-20 18:32:38,"wow, true","4, 2","cant","-1",3,0
"46","cheesetownradio",2021-08-20 17:12:15,"clean, please, dirty, yummy, big, dirty, like, clean, alone, dirty, clean, dirty, clean, clean, bad, clean, love, love, better, dirty, crazy, clean","2, 1, -2, 3, 1, -2, 2, 2, -2, -2, 2, -2, 2, 2, -3, 2, 3, 3, 2, -2, -2, 2","bad, better","-1, 1",0.55,0
"60","ChesaVirginia",2021-08-20 18:00:14,"deniers, free, good, safe","-2, 1, 3, 1","good","1",0.75,0.5
"62","ChesHealthcare",2021-08-20 17:06:01,"congratulations, big, help, winning, positive, easy","2, 1, 2, 4, 2, 1","positive","1",2,0.41
"63","ChilversDaniel",2021-08-20 17:40:57,"please, please, please, please, badly, great, amazing, please, please, please, please, please","1, 1, 1, 1, -3, 3, 4, 1, 1, 1, 1, 1","most, beat","1, 1",1.08,0
"74","Christine_Dye_",2021-08-20 18:24:35,"no, better, thanks, ill","-1, 2, 2, -2","better","1",0.25,0.5
"75","cloudgazer",2021-08-20 16:41:12,"yes, interest, no","1, 1, -1","cant","-1",0.33,0
"76","CNRMA",2021-08-20 17:00:00,"threat, ensure, prepared","-2, 1, 1","below, more","-1, 1",0,0
"77","debbie_longmuir",2021-08-20 16:55:30,"wishing, best, lovely","1, 3, 3","best","1",2.33,0.58
"78","DeborahReaves2",2021-08-20 17:31:52,"illegal, kind, ethical, care, god, sorry, good, like, stupid, wish, best, fight, no, stupid, no, violence, riot","-3, 2, 2, 2, 1, -1, 3, 2, -2, 1, 3, -1, -1, -2, -1, -3, -2","good, least, best, cant","1, -1, 1, -1",0,0.49
"85","deepcreeksca",2021-08-20 16:55:04,"thank, thank","2, 2","enjoyed, enjoyed","1, 1",2,0
"87","destinyb_18",2021-08-20 16:43:29,"fail","-2","fail","-1",-2,-1
"88","dianencfcfan",2021-08-20 17:12:43,"big, hug, love, problem, good, worse","1, 2, 3, -2, 3, -3","good, worse","1, -1",0.67,0
"91","DinVb63",2021-08-20 17:15:58,"fan, love, hate, mad, like, agreed","3, 3, -3, -3, 2, 1","minor","1",0.5,0
"93","Doug_The_Slug_",2021-08-20 17:00:29,"fun","4","more, more","1, 1",4,0
"94","drxzzy__",2021-08-20 17:49:59,"good, better","3, 2","good, better","1, 1",2.5,1.41
"95","ECTTS",2021-08-20 17:46:06,"increase, safe, avoid","1, 1, -1","increase","1",0.33,0.58
"96","EquipmentTrader",2021-08-20 17:32:28,"best","3","best","1",3,1
"97","esandstrum",2021-08-20 17:14:54,"clueless, top, crap, prepared","-2, 2, -3, 1","slow, down, more","-1, -1, 1",-0.5,0
"99","ethanayoub",2021-08-20 17:58:00,"better","2","better","1",2,1
"100","gabifrenxh",2021-08-20 17:43:46,"good, help","3, 2","good","1",2.5,0.71
"101","Gamble_IQ",2021-08-20 16:54:56,"best","3","best","1",3,1
"102","gclions",2021-08-20 18:13:34,"love, leave, chilling, chance","3, -1, -1, 2","challenging","-1",0.75,0
"103","GeorgeG02911555",2021-08-20 18:06:20,"interesting, rigorous, pretty","2, 3, 1","slow","-1",2,0
"104","GoldenBallSocce",2021-08-20 16:40:00,"good, luck, hard","3, 3, -1","good, hard","1, -1",1.67,0
"105","GregCurl2",2021-08-20 16:42:32,"fine","2","fine","1",2,1
"106","growwithalice",2021-08-20 16:45:26,"powerful, broken, hope, courage, leave, hard","2, -1, 2, 2, -1, -1","hard","-1",0.5,-0.41
"107","HabitzGaming",2021-08-20 18:18:25,"lol, supports, imbecile, shitty, shit","3, 2, -3, -3, -4","less","-1",-1,0
"109","HennyNFriedCrab",2021-08-20 17:48:28,"better","2","better","1",2,1
"110","HermansGrave",2021-08-20 18:24:45,"lmao, super, rich, pay, exploit, misunderstood, mad","4, 3, 2, -1, -2, -2, -3","more","1",0.14,0
"114","HimarshaJ",2021-08-20 18:26:14,"opportunity, thank","2, 2","opportunity","1",2,0.71
"115","I_amSusie",2021-08-20 17:30:54,"thank, lovely, thank, lovely, lucky, nice, appreciate, thank, lovely, welcome, yes, good, broke, died, terrible, grief, suspect, trouble","2, 3, 2, 3, 3, 3, 2, 2, 3, 2, 1, 3, -1, -3, -3, -2, -1, -2","lucky, good, most, more, more, more, terrible","1, 1, 1, 1, 1, 1, -1",0.94,0.24
"122","iceniphoto",2021-08-20 17:14:21,"alone, amazing","-2, 4","larger, cant","1, -1",1,0
"123","Its_Taydeon",2021-08-20 17:05:08,"wrong, thank, goodness, cool","-2, 2, 3, 1","delivered","1",1,0
"125","itsmeiamgary",2021-08-20 18:06:55,"fight, god, god, awesome, best, freedom, broken","-1, 1, 1, 4, 3, 2, -1","best","1",1.29,0.38
"131","ItsNot_Erin",2021-08-20 17:06:37,"hard","-1","hard","-1",-1,-1
"132","ItzMcDonaldFor3",2021-08-20 17:18:44,"good, panicked, blocked, mad","3, -3, -1, -3","good","1",-1,0.5
"135","J_Smiviff",2021-08-20 17:14:34,"swift, great, good, smog","2, 3, 3, -2","good","1",1.5,0.5
"137","JamarrW",2021-08-20 17:07:01,"sorry, funny, like, lol, perfect, comfort, love, save, scams, great","-1, 4, 2, 3, 3, 2, 3, 2, -2, 3","high","1",1.9,0
