"","screen_name","created_at","all_afinn_words","all_afinn_values","all_custom_words","all_custom_values","afinn_score","custom_score"
"191","MrsJonica",2021-08-18 18:43:59,"excellent","3","excellent","1",3,1
"192","musicnerdzradio",2021-08-18 17:25:51,"clean, stop, die, love, optimistic, love, clean","2, -1, -3, 3, 2, 3, 2","optimistic","1",1.14,0.38
"199","naeeACEmoney",2021-08-18 17:38:23,"lol, fucking, shit, lol, growing","3, -4, -4, 3, 1","growing, beat","1, 1",-0.2,0.45
"202","naejj96",2021-08-18 17:49:01,"love, bad, god, love, love, leave, faith, god, hard, god, leave, like, god, allow, god","3, -3, 1, 3, 3, -1, 1, 1, -1, 1, -1, 2, 1, 1, 1","cant, bad, hard","-1, -1, -1",0.8,-0.52
"205","nash_dce",2021-08-18 17:55:47,"amazing, best, help, desperate, help","4, 3, 2, -3, 2","best","1",1.6,0.45
"206","NavalSafetyCtr",2021-08-18 17:12:20,"risk, risk","-2, -2","risk, fall, risk, more","-1, -1, -1, 1",-2,-1.41
"207","NayimEdwards",2021-08-18 17:31:24,"please, good, crazy, cry","1, 3, -2, -1","good","1",0.25,0.5
"210","Neitraa_",2021-08-18 18:25:49,"annoying, help, hate, weird, shit, lol","-2, 2, -3, -2, -4, 3","cant","-1",-1,0
"214","NickGreyhound1",2021-08-18 18:38:08,"strength, yes, like, waste","2, 1, 2, -1","strength","1",1,0.5
"217","NorfolkCountyFA",2021-08-18 17:35:00,"support","2","more","1",2,0
"218","notbangalore",2021-08-18 18:25:03,"want, amazing, no","1, 4, -1","cant","-1",1.33,0
"220","paulsplinux",2021-08-18 18:17:39,"pretty, honest, bad, sorry, clear","1, 2, -3, -1, 1","bad","-1",0,-0.45
"221","PistolCityAP",2021-08-18 18:50:56,"immune, better, immune, no, lol, free, hug, nuts, scared","1, 2, 1, -1, 3, 1, 2, -3, -2","better, more","1, 1",0.44,0.33
"228","PoopScience",2021-08-18 17:41:26,"agreed, better","1, 2","cant, better, work, down, high","-1, 1, 1, -1, 1",1.5,0.71
"229","PThrifting",2021-08-18 17:29:11,"good, share, loving","3, 1, 2","good","1",2,0.58
"230","raffledup",2021-08-18 18:40:24,"congrats, lucky","2, 3","lucky","1",2.5,0.71
"231","RappinRach",2021-08-18 17:07:10,"ill","-2","grow, risky","1, -1",-2,0
"232","RBAarch",2021-08-18 18:00:39,"retreat, better, fitness, fire","-1, 2, 1, -2","better","1",0,0.5
"233","rebecca_spur",2021-08-18 18:04:44,"fit, clear, shit, embarrassing, lmfao","1, 1, -4, -2, 4","cant","-1",0,0
"236","rumdrinker71",2021-08-18 17:29:56,"big, improve, improve","1, 2, 2","cant, improve, improve","-1, 1, 1",1.67,1.15
"237","RussellB1ggs",2021-08-18 18:33:18,"sadly, ruins, worry, lost, disturbing, grey, polluted, clear","-2, -2, -3, -3, -2, -1, -2, 1","above","1",-1.75,0
"239","ryanduncan14",2021-08-18 18:09:44,"hated, better, better, drags, like","-3, 2, 2, -1, 2","better, better, more","1, 1, 1",0.4,0.89
"240","Saleen_MartinTV",2021-08-18 18:51:34,"ass, bitch, like, good, excited, hilarious, hard, great","-4, -5, 2, 3, 3, 2, -1, 3","good, hard","1, -1",0.38,0
"243","Santonyo9",2021-08-18 18:18:10,"stop","-1","work, high","1, 1",-1,0
"244","ScratchingHimUp",2021-08-18 18:38:24,"love, good, good, favorite, niggas, hard, important, wrong, important","3, 3, 3, 2, -5, -1, 2, -2, 2","good, good, least, hard","1, 1, -1, -1",0.78,0.33
"248","sentaracollege",2021-08-18 18:11:49,"pleased, help, great, welcome","3, 2, 3, 2","pleased","1",2.5,0.5
"249","sevenvenues",2021-08-18 17:09:25,"congratulations, awards, war","2, 3, -2","cant","-1",1,0
"250","SheenaYRandell",2021-08-18 17:13:31,"unbelievable, huge, anti, excuse, irresponsible","-1, 1, -1, -1, 2","cant","-1",0,0
"252","SilencedSymba",2021-08-18 18:41:22,"huge, smiling","1, 2","down","-1",1.5,0
"253","Snort2",2021-08-18 18:03:56,"best","3","best","1",3,1
"254","sonebone_",2021-08-18 17:44:15,"love, lmao, better, spirit, drunk, bitches, damn","3, 4, 2, 1, -2, -5, -4","better","1",-0.14,0.38
"259","SpeedWatkins",2021-08-18 17:23:17,"god, matters, kill, good, wrong, ignored, ignored, good, ignore, good, failures, disregarded, wrong, no, better, care, excellent, best, best, true, best, problem, no, suffering, evil, suffering","1, 1, -3, 3, -2, -2, -2, 3, -1, 3, -2, -2, -2, -1, 2, 2, 3, 3, 3, 2, 3, -2, -1, -2, -3, -2","most, good, good, good, successes, more, better, excellent, best, best, best","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",0.08,1.57
"269","SSGClo",2021-08-18 18:39:54,"struggle, honest, no, struggle, fuck","-2, 2, -1, -2, -4","cant, most","-1, 1",-1.4,0
"272","Stubuck1",2021-08-18 18:46:27,"excellent, loved","3, 3","excellent, down","1, -1",3,0.71
"273","subschneider",2021-08-18 17:52:49,"interest, jesus, rich","1, 1, 2","none","1",1.33,0
"276","Sugmad1200",2021-08-18 18:11:31,"sentenced, prison, no, arrested, better, no, sentenced, prison, kill, alone","-2, -2, -1, -3, 2, -1, -2, -2, -3, -2","better","1",-1.6,0.32
"279","syd_smittie",2021-08-18 18:48:26,"trust","1","trust","1",1,1
"280","T_REV757",2021-08-18 17:25:05,"like, no, motivated, big","2, -1, 2, 1","grew","1",1,0
"281","TakeRisk1998",2021-08-18 17:33:52,"no, hell, best, better, bad, die, hard, love","-1, -4, 3, 2, -3, -3, -1, 3","down, best, better, bad, hard","-1, 1, 1, -1, -1",-0.5,0
"284","TarpeyPhoto",2021-08-18 17:36:28,"appreciation, shit","2, -4","most, work","1, 1",-1,0
"285","TateForkel",2021-08-18 18:09:44,"thankful, thank, empty, difficult, honest","2, 2, -1, -1, 2","more, difficult","1, -1",0.8,-0.45
"287","tbaby757",2021-08-18 18:42:25,"good, unfair, care, care, like","3, -2, 2, 2, 2","good","1",1.4,0.45
"290","TBLAIR504TV",2021-08-18 17:33:50,"good, lol","3, 3","good","1",3,0.71
"292","TheBlackNerd",2021-08-18 18:24:41,"ill","-2","work","1",-2,0
"293","TheFiestaLord",2021-08-18 17:48:02,"enjoy, screams, happy","2, -2, 3","enjoy","1",1,0.58
"295","TheJeffMatson",2021-08-18 17:32:31,"sick, sucks, better, sick, shit, die","-2, -3, 2, -2, -4, -3","better","1",-2,0.41
"296","thektron",2021-08-18 18:27:05,"unclear, pretty, cancel, determined, drop, good","-1, 1, -1, 2, -1, 3","least, drop, good","-1, -1, 1",0.5,0
"298","TheWakerBaker",2021-08-18 18:22:51,"cool, lol, please, noble","1, 3, 1, 2","down","-1",1.75,0
"301","tmj_orf_adv",2021-08-18 18:48:38,"recommend","2","more","1",2,0
"302","tmj_ORF_secure",2021-08-18 18:22:32,"growing","1","growing","1",1,1
"303","tmj_ORF_skltrd",2021-08-18 17:12:00,"like, opportunities","2, 2","opportunities","1",2,0.71
"304","tmj_vap_retail",2021-08-18 17:17:31,"like, like","2, 2","most","1",2,0
"305","TonyEppsJr_",2021-08-18 18:04:22,"shoot, sorry, no","-1, -1, -1","cant","-1",-1,0
"307","TSI_Alerts",2021-08-18 17:40:03,"best, top","3, 2","best","1",2.5,0.71
"309","TweetsWithMyCat",2021-08-18 17:44:34,"shame, ignorant, suffer, worth, hope, better, kill, certain, ignorant, tragic, no, ugly, ban","-2, -2, -2, 2, 2, 2, -3, 1, -2, -2, -1, -3, -2","better, certain, less, down","1, 1, -1, -1",-0.92,0.28
"315","UnionMission",2021-08-18 17:15:04,"solutions, thank","1, 2","more","1",1.5,0
"316","virginianpilot",2021-08-18 17:21:00,"skeptics, illness, injury, honor, medal, distorted, accepted","-2, -2, -2, 2, 3, -2, 1","injury, most, cant","-1, 1, -1",-0.29,-0.38
"320","wetlandswatchVA",2021-08-18 17:08:35,"thanks","2","rise","1",2,0
"321","WGHoneMillard",2021-08-18 17:41:48,"amused, improved","3, 2","improved","1",2.5,0.71
"322","will_357",2021-08-18 17:40:08,"excuse","-1","more","1",-1,0
"323","winging1t",2021-08-18 18:29:53,"goodness, easy, good, sad","3, 1, 3, -2","good","1",1.25,0.5
"325","WODUplaylist",2021-08-18 17:51:20,"hell, love, clean, clean, grant, wasted, clean, matter","-4, 3, 2, 2, 1, -2, 2, 1","down, down, down","-1, -1, -1",0.62,0
"331","xecut1onr",2021-08-18 18:09:02,"big, yeah, no, trust, haha, great","1, 1, -1, 1, 3, 3","more, less, more, more, trust","1, -1, 1, 1, 1",1.33,0.41
