"","screen_name","ID","all_afinn_words","all_afinn_values","all_custom_words","all_custom_values","afinn_score","custom_score"
"285","PIT_Basketball",273,"kind, excellent, no, solid, excellent, great, advanced","2, 3, -1, 2, 3, 3, 1","excellent, solid, excellent","1, 1, 1",1.86,1.13
"286","PJRB_BONS",34,"want, no, lol, hope","1, -1, 3, 2","work","1",1.25,0
"287","PlantPref",593,"bother, hardy, hardier","-2, 2, 2","bother, grown, grown","-1, 1, 1",0.67,-0.58
"288","PlugMoneyCai_",397,"niggas, convinced, niggas, no, backed, like, damn, no, stable","-5, 1, -5, -1, 1, 2, -4, -1, 2","cant","-1",-1.11,0
"289","PortofVirginia",392,"proud","2","achievement","1",2,0
"290","PortsVASchools",94,"thanks","2","high","1",2,0
"291","PRAGroupInc",707,"proud, supporter, honored, opportunity","2, 1, 2, 2","opportunity","1",1.75,0.5
"292","PrinceOfKemet86",18,"want, want, no","1, 1, -1","cant, more","-1, 1",0.33,0
"293","ProdByCHilfiger",728,"thank, god, shit, hell, congrats","2, 1, -4, -4, 2","cant, fall","-1, -1",-0.6,0
"294","PThrifting",844,"good, share, loving","3, 1, 2","good","1",2,0.58
"295","Q_TH3G0AT",227,"love","3","more","1",3,0
"296","QE3FromTheVA",771,"thank, welcome, fuck, fan, cut, funny, fuck","2, 2, -4, 3, -1, 4, -4","painful","-1",0.29,0
"297","queen_gee13",797,"hard, feeling","-1, 1","hard","-1",0,-0.71
"298","Quillster_",761,"drop, cut, tired","-1, -1, -2","drop, more, tired","-1, 1, -1",-1.33,-1.15
"299","qveen__cayela",655,"no, calm, mad, like, wtf","-1, 2, -3, 2, -4","down","-1",-0.8,0
"300","QweezyReed",598,"drop","-1","drop","-1",-1,-1
"301","RadioWNorfolk",353,"congratulations, fun, fun","2, 4, 4","more","1",3.33,0
"302","raf_wayne",11,"superior, shit, useless, fuck, shit, funny, niggas, cut, top, consent, fuck, fucked, like, no, good, no, ass, like, hell, goodness, debt, fuck, favorite, strongest, like, shit, promise, die, better, bitch, like, stop, love, god, wish, drown, calm, bitch, like, wins, shit, nuts, like, no, ass, ridiculous, useless, shit, niggas, shit, like, love, bitch, yeah, bitch, niggas, bitches, bitches, lied, bitch, cool, dickhead, hates, bitch, like, bitches, damn, shit, like, fuck, like, hell, fuck, no, cut, shit, no, niggas, love, like, care, super, like, bitch, vision, craziest, shit, damn, miss, lmao","2, -4, -2, -4, -4, 4, -5, -1, 2, 2, -4, -4, 2, -1, 3, -1, -4, 2, -4, 3, -2, -4, 2, 2, 2, -4, 1, -3, 2, -5, 2, -1, 3, 1, 1, -2, 2, -5, 2, 4, -4, -3, 2, -1, -4, -3, -2, -4, -5, -4, 2, 3, -5, 1, -5, -5, -5, -5, -2, -5, 1, -4, -3, -5, 2, -5, -4, -4, 2, -4, 2, -4, -4, -1, -1, -4, -1, -5, 3, 2, 2, 3, 2, -5, 1, -2, -4, -4, -2, 4","good, cant, less, least, strongest, dropped, better, work, dropped, record, work","1, -1, -1, -1, 1, -1, 1, 1, -1, 1, 1",-1.29,0.32
"303","raffledup",767,"love, best","3, 3","best","1",3,0.71
"304","RAIN_onyou",122,"want, cry, want, best, suck","1, -1, 1, 3, -3","best","1",0.2,0.45
"305","RayMillard1",576,"brave, committed, worth","2, 1, 2","more, more","1, 1",1.67,0
"306","realTomChapman",346,"like","2","fall","-1",2,0
"307","realtron",393,"super, like, enjoy, nice, weird","3, 2, 2, 3, -2","enjoy","1",1.6,0.45
"308","REBARIFFIC",31,"good, fun, pleasure, great, fun","3, 4, 3, 3, 4","good","1",3.4,0.45
"309","rebecca_spur",277,"wow, thank, dream, please, no, leave, straight, thank, favorite, no","4, 2, 1, 1, -1, -1, 1, 2, 2, -1","down, straight, down","-1, 1, -1",1,0.32
"310","ReeseBecker",357,"hard, greatest, challenge","-1, 3, -1","hard, greatest, challenge","-1, 1, -1",0.33,-0.58
"311","reeseee23",714,"fun, shit, embarrassing","4, -4, -2","more","1",-0.67,0
"312","RicaWitDaThighs",822,"free, dick","1, -4","more","1",-1.5,0
"313","Rich1398359295",1,"awesome, thanks, privileged, yes, hard, yes","4, 2, 2, 1, -1, 1","hard","-1",1.5,-0.41
"314","RobbieDuncanOL",760,"good, good, good, big","3, 3, 3, 1","good, good, good","1, 1, 1",2.5,1.5
"315","robk815",599,"missed, thanks","-2, 2","least","-1",0,0
