"","screen_name","created_at","all_afinn_words","all_afinn_values","all_custom_words","all_custom_values","afinn_score","custom_score"
"1","Broadland_Dan",2021-09-02 21:37:18,"best","3","best","1",3,1
"2","FollowThe_Leada",2021-09-02 21:40:52,"like","2","rise","1",2,0
"3","harryphood",2021-09-02 21:41:00,"shit, fucking","-4, -4","record","1",-4,0
"4","IzzyRodriquez_",2021-09-02 21:41:03,"weird","-2","cant","-1",-2,0
"5","khi4na",2021-09-02 21:36:45,"growing","1","growing","1",1,1
"6","PitmasterJW",2021-09-02 21:38:25,"yeah, straight","1, 1","straight","1",1,0.71
"7","RussellinORF",2021-09-02 21:40:05,"damn","-4","none","1",-4,0
"8","StrangeCaseCo",2021-09-02 21:40:17,"pleasure, nice","3, 3","work","1",3,0
