"","ID","screen_name","created_at","census_tract","text","lat","lon","radius","all_afinn_lexicon_words","all_afinn_lexicon_values","all_polarity_lexicon_words","all_polarity_lexicon_values","afinn_lexicon_scores","polarity_lexicon_scores"
"1",1,"CarrieSheffey",2021-10-12 01:04:34,51710005100,"i like blue dwts",36.830177,-76.2613,"5mi","like","2",NA,NA,2,NA
"2",2,"_Arielly_21",2021-10-12 01:04:23,51710005100,"what he did for me today ment so much to me i will not let what i have been through mess this one up",36.830177,-76.2613,"5mi","mess","-2",NA,NA,-2,NA
"3",3,"RosebConcrete",2021-10-12 01:04:11,51710005100,"i feel sorry for ace hood is mother is toxic lhhmia",36.830177,-76.2613,"5mi","sorry","-1",NA,NA,-1,NA
"4",4,"fineChynaa__",2021-10-12 01:04:11,51710005100,"tropicana orange juice is so nasty to me lol",36.830177,-76.2613,"5mi","nasty, lol","-3, 3",NA,NA,0,NA
"5",5,"SteveHe67149032",2021-10-12 01:04:09,51710005100,"michaelstein777 battle hogs",36.830177,-76.2613,"5mi","battle","-1",NA,NA,-1,NA
"6",6,"TheBlackNerd",2021-10-12 01:04:08,51710005100,"mfstevehere this a good drawing",36.830177,-76.2613,"5mi","good","3","good","1",3,1
"7",7,"Movin1077fm",2021-10-12 01:03:56,51710005100,"weekend recap mario amp courtney hit las vegas for marios birthday amp more httpstco6hlet0bjcz",36.830177,-76.2613,"5mi",NA,NA,"more","1",NA,1
"8",8,"tbrown132",2021-10-12 01:02:35,51710005100,"poweredunity21 preciate it coach b",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"9",9,"Drpolo1983",2021-10-12 01:03:55,51710005100,"well that escalated quickly httpstco9wju1degun httpstcopfyviufail",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"10",10,"megatherium222",2021-10-12 01:02:44,51710005100,"brienn365 callumkaypee cjames1602 capybaroness 20something major blockbuster movies made a lot of money  woooooweee  you know whats also happened during that time  the entire narrative of theaters dying  despite the mcu",36.830177,-76.2613,"5mi","blockbuster","3",NA,NA,3,NA
"11",11,"WODUplaylist",2021-10-12 00:43:44,51710005100,"the shivas  feels so bad   nowplayingwodustudios collegeradio listenlive",36.830177,-76.2613,"5mi","bad","-3","bad","-1",-3,-1
"12",12,"KevinMontanaa",2021-10-12 00:46:45,51710005100,"they be like he wont even with that shit whenever a nigga die",36.830177,-76.2613,"5mi","like, shit, die","2, -4, -3",NA,NA,-1.67,NA
"13",13,"2Thicccc",2021-10-12 01:03:37,51710005100,"ssjstrong with me you never know",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"14",14,"KennyP_757",2021-10-12 01:03:07,51710005100,"badgaltg about to be after a long day",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"15",15,"AlanisvivianaM",2021-10-12 00:48:49,51710005100,"vibes410 but where do i find these people",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"16",16,"odrog_ho",2021-10-12 01:02:42,51710005100,"datruth01 both basic respect is always given anything further is earned",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"17",17,"CliffKFF",2021-10-12 01:02:36,51710005100,"an ecat skled hypothesis confirmed by rossi httpstcoll4cj0gyp5",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"18",18,"LD__30",2021-10-12 01:02:16,51710005100,"wentz still cant read blitzes",36.830177,-76.2613,"5mi",NA,NA,"cant","-1",NA,-1
"19",19,"roderickgraham",2021-10-12 01:01:50,51710005100,"watching this doc jacintaso glad childhood trauma and drug addiction are being treated with more compassionin the past we would be saying things like get over it or nobody told you take drugs  basically revictimizing victimshttpstcocqxytazfdm",36.830177,-76.2613,"5mi","glad, trauma, like","3, -3, 2","more","1",0.67,1
"20",20,"Aloy_durr",2021-10-12 01:01:17,51710005100,"revizorsb doevember i love that movie",36.830177,-76.2613,"5mi","love","3",NA,NA,3,NA
"21",21,"jusschrisx",2021-10-12 01:01:09,51710005100,"kutakuxmoto ovogoonlife drsweets24 no  hes calling her an antivaxxer and saying he couldve did without her in the song",36.830177,-76.2613,"5mi","no","-1",NA,NA,-1,NA
"22",22,"Nile_young1",2021-10-12 01:00:59,51710005100,"loving my lil family",36.830177,-76.2613,"5mi","loving","2",NA,NA,2,NA
"23",23,"ra_childish",2021-10-12 00:54:50,51710005100,"aw man do i want the halloween forces or prestos",36.830177,-76.2613,"5mi","want","1",NA,NA,1,NA
"24",24,"PoogieBear82",2021-10-12 01:00:48,51710005100,"medicare annual enrollment is underway if you are 65 with questions about medicare advantage this helpful article from westfair online provides an overview of everything anthem has to offer including many new offerings for 2022 check it out httpstcogntjobzniv httpstcoyupjjwyk5r",36.830177,-76.2613,"5mi","advantage, helpful","2, 2",NA,NA,2,NA
"25",25,"DrLectersMask",2021-10-12 00:59:05,51710005100,"this is the stormyjeff situation on my screen httpstcoisnjolqcyy",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"26",26,"GhostStationTv",2021-10-12 00:59:44,51710005100,"brandosando7 you know its one of my favs lol",36.830177,-76.2613,"5mi","lol","3",NA,NA,3,NA
"27",27,"1cxb_",2021-10-12 01:00:33,51710005100,"i could use a friend httpstcooygrmpmncg",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"28",28,"g_itchcat",2021-10-12 01:00:30,51710005100,"cat 4a270d04511bab7f31a44c466622f4ea1363bef2 httpstco2hvug26rgy",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"29",29,"USFleetForces",2021-10-12 01:00:09,51710005100,"welcome home uss san antonio lpd17 returned to naval station norfolk following its recent six month deployment with the iwo jima amphibious ready group bravo zulu usnavy navyhomecoming welcomehome httpstcof5zoqsutjk",36.830177,-76.2613,"5mi","welcome","2",NA,NA,2,NA
"30",30,"ari_chosen1",2021-10-12 01:00:00,51710005100,"anybody who claims to be called has got to survive something they were supposed to die in",36.830177,-76.2613,"5mi","die","-3",NA,NA,-3,NA
"31",31,"CSCNorfolk",2021-10-12 00:59:55,51710005100,"mattyhams way to go boys irby2023",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"32",32,"PhotobombChamp",2021-10-12 00:59:51,51710005100,"deadcatwalking for the first week they were much worse but i think its chilled a bit now",36.830177,-76.2613,"5mi","worse","-3","worse","-1",-3,-1
"33",33,"AsiahEure",2021-10-12 00:43:14,51710005100,"its the wig on alan  dwts httpstcopjzoo8ra77",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"34",34,"kiatanner_",2021-10-12 00:59:41,51710005100,"killm4ri ratio",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"35",35,"Kizzydat_",2021-10-12 00:59:38,51710005100,"the only thing that can get out of bed on off days is brunch ill never turn down brunch",36.830177,-76.2613,"5mi","ill","-2","down","-1",-2,-1
"36",36,"xivjae",2021-10-12 00:59:35,51710005100,"peterfinchgolf it doesnt look odd to me",36.830177,-76.2613,"5mi","odd","-2",NA,NA,-2,NA
"37",37,"dayymonet_",2021-10-12 00:59:22,51710005100,"wow bro",36.830177,-76.2613,"5mi","wow","4",NA,NA,4,NA
"38",38,"rebecca_spur",2021-10-12 00:59:17,51710005100,"midorideane because youre amazing and providing nutrition and sustenance to a sweet baby and family who needs it and thats incredible",36.830177,-76.2613,"5mi","amazing, sweet","4, 2",NA,NA,3,NA
"39",39,"CTECH_TECH",2021-10-12 00:58:59,51710005100,"therealeaglefan sometimes you gotta take that l and move on",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"40",40,"peirson_jack",2021-10-12 00:58:57,51710005100,"tennisreva potus oh got it we did a bad job of messaging",36.830177,-76.2613,"5mi","bad","-3","bad","-1",-3,-1
"41",41,"The_Mockers",2021-10-12 00:58:50,51710005100,"best fucking ad ever httpstcowriiacifpp",36.830177,-76.2613,"5mi","best, fucking","3, -4","best","1",-0.5,1
"42",42,"SunnyBLite",2021-10-12 00:58:28,51710005100,"afrochildt what is this picture bro httpstcoathjbjcw9k",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"43",43,"UFO_CONTRADICTS",2021-10-12 00:58:27,51710005100,"how shyne turned his life around after infamous 1999 diddy nightclub sho httpstcoetvbc8b6bo via youtube originalshyne",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
