1,oh_itsMonte,2021-10-13T21:00:29Z,51710005100,lanzilottii lmao no damn body i just needed sum for my bio couldnt think of nun,36.830177,-76.2613,5mi,"lmao, no, damn","4, -1, -4",NA,NA,-0.33,NA
2,Ashanti_Bragg_,2021-10-13T21:00:14Z,51710005100,just posted a video  norfolk virginia httpstcorg1a0mpqya,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
3,da_von23,2021-10-13T21:00:11Z,51710005100,although you may have felt manipulated into holding certain in more for taurus httpstcoqvtcw4xdiy,36.830177,-76.2613,5mi,"manipulated, certain","-1, 1","certain, more","1, 1",0,1
4,CTECH_TECH,2021-10-13T21:00:10Z,51710005100,ydontumedaddy its that time httpstcouk3y4hjhxl,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
5,Watson_Walker,2021-10-13T21:00:09Z,51710005100,people you know might admire your logical way of thinking but more for sagittarius httpstcor5jxicraim,36.830177,-76.2613,5mi,admire,3,more,1,3,1
6,grovelsjon36,2021-10-13T21:00:04Z,51710005100,owen666rees plenty of coffee pondering time,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
7,MonarchDining,2021-10-13T21:00:01Z,51710005100,its almost dinner time and if youre craving something quick that doesnt taste like fast food come to panera and try the chipotle chicken avocado melt  httpstcolbbib3frqx,36.830177,-76.2613,5mi,like,2,NA,NA,2,NA
8,Squerk_,2021-10-13T20:59:59Z,51710005100,can 3 of u follow the goat httpstco0ixavfuwyq,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
9,JEAcott23,2021-10-13T20:59:56Z,51710005100,zarahsultana zero hours contracts i couldnt afford to lose a days work,36.830177,-76.2613,5mi,NA,NA,work,1,NA,1
10,jdr1974,2021-10-13T20:59:45Z,51710005100,lizzywends treasure him ,36.830177,-76.2613,5mi,treasure,2,NA,NA,2,NA
11,AllxEvol,2021-10-13T20:59:45Z,51710005100,shonwixk shittin me,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
12,realTomChapman,2021-10-13T20:59:42Z,51710005100,jwolanski2 leafscup2020 keep going,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
13,PNellytime,2021-10-13T20:59:38Z,51710005100,that means she tired of you  httpstcoqs7onphldb,36.830177,-76.2613,5mi,tired,-2,tired,-1,-2,-1
14,TyClouted,2021-10-13T20:59:37Z,51710005100,swazlol as you get older the bones in the mouth become harder making them difficult to remove,36.830177,-76.2613,5mi,difficult,-1,difficult,-1,-1,-1
15,EianBJones,2021-10-13T20:56:33Z,51710005100,ladysideshow as you shouldwe stan the wetworks over here,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
16,Mbellieu1975,2021-10-13T20:59:25Z,51710005100,long day httpstcoa3c91eqbi8,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
17,roderickgraham,2021-10-13T20:51:21Z,51710005100,really httpstcou5jzsv7uki,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
18,SadeSmartySkirt,2021-10-13T20:59:04Z,51710005100,more traffic,36.830177,-76.2613,5mi,NA,NA,more,1,NA,1
19,StokesTheKid,2021-10-13T20:59:02Z,51710005100,protoj15 proud of you big bro ,36.830177,-76.2613,5mi,"proud, big","2, 1",NA,NA,1.5,NA
20,kluekluxeky,2021-10-13T20:58:53Z,51710005100,fuckin on someone else amp textin like u want me disrespectful u playin w my intelligence u should b tryna better me ,36.830177,-76.2613,5mi,"like, want, better","2, 1, 2",better,1,1.67,1
21,VictoriaLynnAn3,2021-10-13T20:58:50Z,51710005100,whatgoingdowney no dak is not a disappointment dont talk about my quarter back hes the best dak prescott,36.830177,-76.2613,5mi,"no, disappointment, best","-1, -2, 3","disappointment, best","-1, 1",0,0
22,BostonMarketJob,2021-10-13T20:58:50Z,51710005100,this job might be a great fit for you cook  restaurant team member 3rd shift  httpstcoczvaroxax5 bostonmarket cook,36.830177,-76.2613,5mi,"great, fit","3, 1",NA,NA,2,NA
23,nymphocherie,2021-10-13T20:58:38Z,51710005100,goodpoliticguy like say youre selfish and go,36.830177,-76.2613,5mi,"like, selfish","2, -3",NA,NA,-0.5,NA
24,mstevensdesign,2021-10-13T20:58:34Z,51710005100,starting my journey for the google ux design certificate,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
25,brickWAVY,2021-10-13T20:58:26Z,51710005100,samuel l jackson graduated from morehouse in 72 damn  k hart voice ,36.830177,-76.2613,5mi,damn,-4,NA,NA,-4,NA
26,PhyllisBrother1,2021-10-13T20:58:06Z,51710005100,abackuptasha troubleshade yep rota wants them back for the pics amp making money but would not change coursethey would still abuse amp dehumanize m and the children daily recent yougov poll asking if hampm should cart lili diana back to uk for christening smh,36.830177,-76.2613,5mi,"abuse, dehumanize","-3, -2",NA,NA,-2.5,NA
27,PistolCityAP,2021-10-13T20:53:10Z,51710005100,theerealmiki not your boy  keep thinking black americans dont have no power you finna see it real soon anyway ,36.830177,-76.2613,5mi,no,-1,NA,NA,-1,NA
28,NO1STYLISS,2021-10-13T20:57:51Z,51710005100,i just cant help myself  crawfish seafood foodie httpstcodazdakqyi0,36.830177,-76.2613,5mi,help,2,cant,-1,2,-1
29,Strange_Remains,2021-10-13T20:57:49Z,51710005100,tsmaccess pets balconies and pools please ,36.830177,-76.2613,5mi,please,1,NA,NA,1,NA
30,LivArchitects,2021-10-13T20:57:49Z,51710005100,so hes just popped a very expensive static caravan up on a concrete plinth then,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
