"","screen_name","created_at","all_afinn_words","all_afinn_values","all_custom_words","all_custom_values","afinn_score","custom_score"
"1","CoachWilder353",2021-09-09 19:07:29,"dirty, positive, positive, positive","-2, 2, 2, 2","positive, positive, positive","1, 1, 1",1,1.5
"2","geordiebird1971",2021-09-09 19:09:02,"crisis, demands, please, support, poverty, commit, boosting, safe","-3, -1, 1, 2, -1, 1, 1, 1","fall, none","-1, 1",0.12,0
"4","GermonoAds",2021-09-09 19:07:34,"like, likes, success, help","2, 2, 2, 2","success","1",2,0.5
"5","Imall4america",2021-09-09 19:07:20,"like, kind, fine","2, 2, 2","fine","1",2,0.58
"6","Jayy_Lamar15",2021-09-09 19:09:20,"stupid","-2","least","-1",-2,0
"7","Lexboogie758_",2021-09-09 19:10:37,"worried, wrong, fine, die, weird","-3, -2, 2, -3, -2","fine","1",-1.6,0.45
"8","OneRockerUSMC",2021-09-09 19:08:28,"weird","-2","most","1",-2,0
"9","sevenvenues",2021-09-09 19:10:39,"comedy, war, save","1, -2, 2","more","1",0.33,0
