"","screen_name","created_at","all_afinn_words","all_afinn_values","all_custom_words","all_custom_values","afinn_score","custom_score"
"63","Dee_Excelsior",2021-08-18 18:57:37,"win, lol, perfect, like","4, 3, 3, 2","more","1",3,0
"67","DestTrvls",2021-08-18 19:01:24,"win, good, luck","4, 3, 3","good","1",3.33,0.58
"68","devinpatterson_",2021-08-18 18:58:36,"lol, lame","3, -2","most","1",0.5,0
"69","dolly_birds85",2021-08-18 18:11:59,"yes, love, wrong, great","1, 3, -2, 3","cannot","-1",1.25,0
"71","drewwest_press",2021-08-18 18:22:16,"forced, big, insanity, wtf, ridiculous, united, banned, enemies, lost, insane, insane, blame, good, trust, kill, ill, no, want, kill, accept, want, weak, want, better, important, bad, excuse, certain","-1, 1, -2, -4, -3, 1, -2, -2, -3, -2, -2, -2, 3, 1, -3, -2, -1, 1, -3, 1, 1, -2, 1, 2, 2, -3, -1, 1","good, trust, cant, weak, unable, better, bad, certain","1, 1, -1, -1, -1, 1, -1, 1",-0.82,0.19
"84","Drorith",2021-08-18 18:52:56,"happy, hope, good, awesome","3, 2, 3, 4","good","1",3,0.5
"86","ericagreenway",2021-08-18 18:41:31,"recommend","2","work","1",2,0
"87","Fame1584",2021-08-18 18:49:07,"sexy, hell, yeah, want, yeah, better, kiss","3, -4, 1, 1, 1, 2, 2","better","1",0.86,0.38
"92","fluidalchemist",2021-08-18 18:13:18,"depressed, bitch","-2, -5","depressed","-1",-3.5,-0.71
"93","foXybRown_",2021-08-18 19:00:48,"no, like","-1, 2","more","1",0.5,0
"94","GavinCaney",2021-08-18 18:58:53,"bomb","-1","drops","-1",-1,0
"95","Harry_MiniumODU",2021-08-18 18:06:59,"great, great, hard, hard, proud, difficult, lost, growth","3, 3, -1, -1, 2, -1, -3, 2","hard, hard, difficult, growth","-1, -1, -1, 1",0.5,-0.71
"98","HemiManChaos",2021-08-18 17:31:46,"great, want, bored, good, fun","3, 1, -2, 3, 4","good","1",1.8,0.45
"100","HimarshaJ",2021-08-18 17:29:40,"amazed, chance","2, 2","high, high, high","1, 1, 1",2,0
"102","hmeducate",2021-08-18 18:57:37,"challenge, awesome, best, appreciate","-1, 4, 3, 2","challenge, best","-1, 1",2,0
"104","HogFarmerJoe",2021-08-18 18:37:53,"pretty, neglects, no, doubt, difficult, love, like, no","1, -2, -1, -1, -1, 3, 2, -1","cant, difficult, most, slow","-1, -1, 1, -1",0,-0.35
"108","IAM_ATCXIII",2021-08-18 19:00:39,"dreading","-2","more","1",-2,0
"109","iceniphoto",2021-08-18 18:53:13,"fabulous, like, like, great, accident, panic, clearly, hoping, good","4, 2, 2, 3, -2, -3, 1, 2, 3","down, more, more, more, good","-1, 1, 1, 1, 1",1.33,0.33
"113","INUmto3",2021-08-18 17:33:33,"negativity, success, wealth, motivation, top, excellent, rewards, loyalty, stop","-2, 2, 3, 1, 2, 3, 2, 3, -1","success, excellent, rewards","1, 1, 1",1.44,1
"118","ItzMcDonaldFor3",2021-08-18 18:29:45,"cool, thanks, bad","1, 2, -3","more, down, bad","1, -1, -1",0,-0.58
"120","J_Smiviff",2021-08-18 18:53:53,"depressing","-2","more","1",-2,0
"121","JamesHowes7",2021-08-18 17:50:15,"stopped","-1","rose, rose","1, 1",-1,0
"122","Jamesypoo",2021-08-18 17:54:43,"hope, good","2, 3","good","1",2.5,0.71
"123","jaserhunter",2021-08-18 18:07:22,"best","3","best","1",3,1
"124","jaylalashaay",2021-08-18 18:14:51,"hard","-1","hard","-1",-1,-1
"125","JC81974",2021-08-18 18:51:53,"sorry, strong, care","-1, 2, 2","strong","1",1,0.58
"126","JCarr757",2021-08-18 19:06:31,"want, win","1, 4","cant","-1",2.5,0
"127","JimCWalker",2021-08-18 17:44:34,"significant, alive, war, debt","1, 1, -2, -2","work","1",-0.5,0
"128","JohnWorrall11",2021-08-18 18:53:06,"gallantly, block, medal, important, honest, fair, chance, challenge, suspected, hope, pressure, big, active, stop, greater, risk, consents, laugh, no, interesting, stop, fair, bright, stop, consents, no, no, blocked, blocked, blocking, consent, sorry, heartfelt, good, clean","3, -1, 3, 2, 2, 2, 2, -1, -1, 2, -1, 1, 1, -1, 3, -2, 2, 1, -1, 2, -1, 2, 1, -1, 2, -1, -1, -1, -1, -1, 2, -1, 3, 3, 2","challenged, challenge, greater, risk, more, more, most, cant, cant, least, more, most, good, down","-1, -1, 1, -1, 1, 1, 1, -1, -1, -1, 1, 1, 1, -1",0.71,0
"142","JudyGLayne1",2021-08-18 18:19:28,"hell, no, like, trust, like, prevent, yeah, hell, no","-4, -1, 2, 1, 2, -1, 1, -4, -1","trust","1",-0.56,0.33
"144","JykeeseJohnson_",2021-08-18 18:06:21,"shoot","-1","most","1",-1,0
"145","KatFerguson10",2021-08-18 18:01:41,"yeah, strange, broken, like, better, leave, want, stopping, leave, wish, die, win","1, -1, -1, 2, 2, -1, 1, -1, -1, 1, -3, 4","work, better, higher","1, 1, 1",0.25,0.29
"150","ken67059412",2021-08-18 18:34:24,"no, pay, no, confidence, hope","-1, -1, -1, 2, 2","work","1",0.2,0
"153","kesharalou_",2021-08-18 18:26:10,"shocked, yes, bitch","-2, 1, -5","work","1",-2,0
"155","KingNola1",2021-08-18 18:26:17,"crisis, adopt, failing, forced, reject, solution, dead","-3, 1, -2, -1, -1, 1, -3","failing","-1",-1.14,-0.38
"156","KingSpyda_",2021-08-18 18:18:43,"shit, growing, crazy, crazy, lmfao, shit, weak","-4, 1, -2, -2, 4, -4, -2","growing, down, weak","1, -1, -1",-1.29,0
"161","KirkulezeShep53",2021-08-18 18:40:05,"good, great, good, important, shit, important","3, 3, 3, 2, -4, 2","good, good, most, cant, most","1, 1, 1, -1, 1",1.5,0.82
"163","KngPharaoh",2021-08-18 18:00:40,"chance","2","more","1",2,0
"164","kokopellikate",2021-08-18 17:35:18,"bad, emergency","-3, -2","bad","-1",-2.5,-0.71
"165","kwality_",2021-08-18 18:40:05,"approved","2","work","1",2,0
"166","lildaay_",2021-08-18 19:00:15,"dreading","-2","more","1",-2,0
"167","Lj_Foster",2021-08-18 17:26:34,"damn, terrible, awful","-4, -3, -3","terrible","-1",-3.33,-0.58
"169","LoLowBeatz",2021-08-18 18:59:00,"like, bitch, hopeless, win, war, shit, thank, stop, like","2, -5, -2, 4, -2, -4, 2, -1, 2","down, more, beats","-1, 1, 1",-0.44,0
"176","lucid_ste3l",2021-08-18 18:11:12,"win","4","cant","-1",4,0
"177","madifromthetrip",2021-08-18 17:35:41,"weird","-2","cant","-1",-2,0
"178","mag400",2021-08-18 18:14:23,"fine, stops","2, -1","fine","1",0.5,0.71
"180","MakotoRaven1",2021-08-18 18:58:07,"like, like","2, 2","fell","-1",2,0
"181","MalucaLoca13",2021-08-18 18:45:14,"like, shit, like, piss","2, -4, 2, -4","down","-1",-1,0
"183","meljdooley",2021-08-18 19:07:08,"best","3","best","1",3,1
"184","MichaelMinutel4",2021-08-18 19:05:06,"good","3","good","1",3,1
"185","Mikey47",2021-08-18 17:27:46,"want, fitness, love, appreciate","1, 1, 3, 2","cant","-1",1.75,0
"186","MissyGreyhound",2021-08-18 19:14:25,"dream, bitches, doom, like, swift, damn, yes, hurt","1, -5, -2, 2, 2, -4, 1, -2","record","1",-0.88,0
"188","Mitchel62120526",2021-08-18 18:14:37,"wrong, yes","-2, 1","largest, more","1, 1",-0.5,0
"190","mop_a_top",2021-08-18 18:21:24,"lucky","3","lucky","1",3,1
"191","MorpekoCheeks",2021-08-18 18:21:22,"favorite, ill, good","2, -2, 3","good","1",1,0.58
"193","Movin1077fm",2021-08-18 18:47:01,"charming, cried","3, -2","more","1",0.5,0
"195","MrComical_L2daJ",2021-08-18 18:18:13,"active, cancelling, god, downside, benefit, like","1, -1, 1, -2, 2, 2","cant","-1",0.5,0
"198","mrnathannelson",2021-08-18 17:55:39,"growing, happy","1, 3","growing","1",2,0.71
"199","MrsJonica",2021-08-18 19:10:06,"excellent, prepared","3, 1","excellent","1",2,0.71
"201","naeeACEmoney",2021-08-18 17:38:23,"growing, fucking, shit, lol, lol","1, -4, -4, 3, 3","growing, beat","1, 1",-0.2,0.45
"204","naejj96",2021-08-18 17:50:57,"god, allow, god, faith, god, hard, god, leave, like, love, bad, god, love, love, leave","1, 1, 1, 1, 1, -1, 1, -1, 2, 3, -3, 1, 3, 3, -1","hard, cant, bad","-1, -1, -1",0.8,-0.52
"207","nash_dce",2021-08-18 17:55:47,"amazing, best, help, desperate, help","4, 3, 2, -3, 2","best","1",1.6,0.45
"208","NayimEdwards",2021-08-18 17:31:24,"please, good, crazy, cry","1, 3, -2, -1","good","1",0.25,0.5
"211","NealMartin10",2021-08-18 17:37:15,"nice, good","3, 3","good","1",3,0.71
"213","NorfolkCountyFA",2021-08-18 17:35:00,"support","2","more","1",2,0
"214","notbangalore",2021-08-18 18:25:03,"no, want, amazing","-1, 1, 4","cant","-1",1.33,0
"216","OgFOMK",2021-08-18 19:07:26,"crying, care, want, love, loving, fool","-2, 2, 1, 3, 2, -2","none","1",0.67,0
"218","paulsplinux",2021-08-18 18:17:39,"pretty, honest, bad, sorry, clear","1, 2, -3, -1, 1","bad","-1",0,-0.45
"219","PoopScience",2021-08-18 17:41:26,"agreed, better","1, 2","cant, better, work, down, high","-1, 1, 1, -1, 1",1.5,0.71
"220","PortsVASchools",2021-08-18 19:07:59,"congratulations, outstanding","2, 5","high","1",3.5,0
"221","PrinceRaH757",2021-08-18 19:06:47,"beating, shit, prison, shit","-1, -4, -2, -4","beating, work","1, 1",-2.75,0.5
"223","PThrifting",2021-08-18 17:29:11,"good, share, loving","3, 1, 2","good","1",2,0.58
"224","raffledup",2021-08-18 18:40:24,"congrats, lucky","2, 3","lucky","1",2.5,0.71
"225","RAIN_onyou",2021-08-18 19:05:06,"excited, fine, good","3, 2, 3","fine, good","1, 1",2.67,1.15
"226","Rammer666",2021-08-18 19:05:37,"enjoy","2","enjoy","1",2,1
"227","RBAarch",2021-08-18 18:00:39,"retreat, better, fitness, fire","-1, 2, 1, -2","better","1",0,0.5
"228","rebecca_spur",2021-08-18 19:01:53,"please, lmfao, fit, shit, embarrassing, lmfao","1, 4, 1, -4, -2, 4","cant","-1",0.67,0
"231","rickycassh",2021-08-18 19:05:03,"pretty, childish","1, -2","cant, cant, cant","-1, -1, -1",-0.5,0
"232","rumdrinker71",2021-08-18 17:29:56,"big, improve, improve","1, 2, 2","cant, improve, improve","-1, 1, 1",1.67,1.15
"233","RussellB1ggs",2021-08-18 18:33:18,"sadly, ruins, worry, lost, ruins, polluted, disturbing, grey, polluted, clear","-2, -2, -3, -3, -2, -2, -2, -1, -2, 1","below, above","-1, 1",-1.8,0
"236","ryanduncan14",2021-08-18 18:09:44,"hated, better, better, drags, like","-3, 2, 2, -1, 2","better, better, more","1, 1, 1",0.4,0.89
"237","Saleen_MartinTV",2021-08-18 17:40:31,"like, good, excited, hilarious, hard, great, ass, bitch","2, 3, 3, 2, -1, 3, -4, -5","good, hard","1, -1",0.38,0
"240","Santonyo9",2021-08-18 18:18:10,"stop","-1","high, work","1, 1",-1,0
"241","ScratchingHimUp",2021-08-18 18:17:14,"love, good, good, niggas, hard, favorite, important, wrong, important","3, 3, 3, -5, -1, 2, 2, -2, 2","good, good, hard, least","1, 1, -1, -1",0.78,0.33
"245","sentaracollege",2021-08-18 18:11:49,"pleased, help, great, welcome","3, 2, 3, 2","pleased","1",2.5,0.5
"246","Sharpey__69",2021-08-18 17:52:06,"love, worst","3, -3","worst","-1",0,-0.71
"248","SilencedSymba",2021-08-18 18:41:22,"huge, smiling","1, 2","down","-1",1.5,0
"249","slnash4u",2021-08-18 18:55:33,"unbelievable","-1","none","1",-1,0
"250","Snort2",2021-08-18 18:03:56,"best","3","best","1",3,1
"251","sonebone_",2021-08-18 17:48:43,"lmao, better, spirit, drunk, damn, bitches, love","4, 2, 1, -2, -4, -5, 3","better","1",-0.14,0.38
"256","SpeedWatkins",2021-08-18 17:40:52,"no, better, care, disregarded, wrong, suffering, failures, problem, no, suffering, evil, kill, good, wrong, ignored, ignored, good, ignore, good, best, best, true, best","-1, 2, 2, -2, -2, -2, -2, -2, -1, -2, -3, -3, 3, -2, -2, -2, 3, -1, 3, 3, 3, 2, 3","more, better, successes, good, good, good, best, best, best","1, 1, 1, 1, 1, 1, 1, 1, 1",-0.13,1.46
"264","SSGClo",2021-08-18 18:39:54,"struggle, fuck, no, rich, honest, no, struggle","-2, -4, -1, 2, 2, -1, -2","cant, most","-1, 1",-0.86,0
"268","Stubuck1",2021-08-18 18:46:27,"excellent, loved","3, 3","excellent, down","1, -1",3,0.71
"269","subschneider",2021-08-18 17:52:49,"interest, rich, jesus","1, 2, 1","none","1",1.33,0
"272","Sugmad1200",2021-08-18 18:40:08,"sentenced, prison, no, arrested, better, no, sentenced, prison, kill, alone","-2, -2, -1, -3, 2, -1, -2, -2, -3, -2","better","1",-1.6,0.32
"275","syd_smittie",2021-08-18 18:48:26,"trust","1","trust","1",1,1
"276","TakeRisk1998",2021-08-18 19:03:14,"best, better, bad, die, hard, love, joke, shit, lol","3, 2, -3, -3, -1, 3, 2, -4, 3","best, better, bad, hard","1, 1, -1, -1",0.22,0
"279","TarpeyPhoto",2021-08-18 17:36:28,"appreciation, shit","2, -4","most, work","1, 1",-1,0
"280","TateForkel",2021-08-18 18:09:44,"thankful, thank, empty, difficult, honest","2, 2, -1, -1, 2","more, difficult","1, -1",0.8,-0.45
"282","tbaby757",2021-08-18 18:39:37,"care, like, good, unfair, care","2, 2, 3, -2, 2","good","1",1.4,0.45
"285","TBLAIR504TV",2021-08-18 17:33:50,"good","3","good","1",3,1
"286","TheBlackNerd",2021-08-18 18:24:41,"ill","-2","work","1",-2,0
"287","TheFiestaLord",2021-08-18 17:48:02,"screams, happy, enjoy","-2, 3, 2","enjoy","1",1,0.58
"289","TheJeffMatson",2021-08-18 17:32:31,"sick, sucks, better, sick, shit, die","-2, -3, 2, -2, -4, -3","better","1",-2,0.41
"290","thektron",2021-08-18 18:22:56,"unclear, pretty, cancel, determined, drop, good","-1, 1, -1, 2, -1, 3","least, drop, good","-1, -1, 1",0.5,0
"292","thePETAlife",2021-08-18 19:01:28,"outreach, outreach, outreach","2, 2, 2","work","1",2,0
"294","TheWakerBaker",2021-08-18 18:22:51,"cool, lol, please, noble","1, 3, 1, 2","down","-1",1.75,0
"297","tmj_orf_adv",2021-08-18 18:48:38,"recommend","2","more","1",2,0
"298","tmj_orf_itpm",2021-08-18 18:59:08,"great, fit","3, 1","more","1",2,0
"299","tmj_ORF_secure",2021-08-18 18:22:32,"growing","1","growing","1",1,1
"300","tmj_vap_util",2021-08-18 19:02:59,"want","1","work","1",1,0
"301","TonyEppsJr_",2021-08-18 18:04:22,"sorry, no, shoot","-1, -1, -1","cant","-1",-1,0
"303","TSI_Alerts",2021-08-18 17:40:03,"best, top","3, 2","best","1",2.5,0.71
"305","TweetsWithMyCat",2021-08-18 17:44:34,"ugly, suffer, worth, hope, better, kill, certain, shame, ignorant","-3, -2, 2, 2, 2, -3, 1, -2, -2","down, better, certain","-1, 1, 1",-0.56,0.33
"309","virginianpilot",2021-08-18 18:37:09,"skeptics, ease, obstacles, honor, medal, illness, injury","-2, 2, -2, 2, 3, -2, -2","obstacles, injury, most","-1, -1, 1",-0.14,-0.76
"313","WGHoneMillard",2021-08-18 17:41:48,"amused, improved","3, 2","improved","1",2.5,0.71
"314","will_357",2021-08-18 17:40:08,"excuse","-1","more","1",-1,0
"315","winging1t",2021-08-18 18:29:53,"goodness, easy, good, sad","3, 1, 3, -2","good","1",1.25,0.5
"317","WODUplaylist",2021-08-18 17:25:48,"wasted, clean, love, clean, clean, grant, matter","-2, 2, 3, 2, 2, 1, 1","down, down","-1, -1",1.29,0
"322","wolfie_biker1",2021-08-18 18:55:26,"block, sunshine, hurt, wrong","-1, 2, -2, -2","grow","1",-0.75,0
"325","xecut1onr",2021-08-18 18:15:16,"big, yeah, no, trust, haha, great","1, 1, -1, 1, 3, 3","more, less, more, more, trust","1, -1, 1, 1, 1",1.33,0.41
