"","screen_name","created_at","all_afinn_words","all_afinn_values","all_custom_words","all_custom_values","afinn_score","custom_score"
"1","_chilton96_",2021-08-18 18:51:24,"good","3","good","1",3,1
"2","_cmholmes",2021-08-18 17:34:00,"thank, glad, perfect, clean, no","2, 3, 3, 2, -1","work","1",1.8,0
"5","_diaawiaa",2021-08-18 17:48:25,"hope, damn, lmfao","2, -4, 4","work","1",0.67,0
"7","_JoeDaHoe",2021-08-18 19:04:37,"no, true, crazy","-1, 2, -2","cant, cant","-1, -1",-0.33,0
"9","_RachaelTV",2021-08-18 17:27:25,"lol","3","low","-1",3,0
"10","_ReginaaaaB",2021-08-18 18:03:33,"no, mad, nerves, worth, damn","-1, -3, -1, 2, -4","more","1",-1.4,0
"13","_skvnny",2021-08-18 17:57:03,"funky, ass, want","2, -4, 1","most","1",-0.33,0
"15","_smokelikewoah",2021-08-18 19:08:43,"invite, no, like, shit, shit, hard, like, no, killing, hard, ill, cool, excited","1, -1, 2, -4, -4, -1, 2, -1, -3, -1, -2, 1, 3","hard, down, hard","-1, -1, -1",-0.62,-0.55
"20","1_Dolo757",2021-08-18 19:01:29,"lol, leave, hurt, want, best, challenge","3, -1, -2, 1, 3, -1","best, challenge","1, -1",0.5,0
"24","13MikeGooding",2021-08-18 19:02:58,"war, disappointment","-2, -2","largest, disappointment","1, -1",-2,-0.71
"25","13PaytDomschke",2021-08-18 17:39:02,"good","3","good","1",3,1
"26","1kevgriff",2021-08-18 17:36:22,"sadly, cancel","-2, -1","more","1",-1.5,0
"27","AndJohnson4all",2021-08-18 17:49:56,"growing","1","growing","1",1,1
"28","Angie1979va",2021-08-18 18:42:37,"better","2","better","1",2,1
"29","AShiauuna",2021-08-18 18:13:24,"hate, good, celebrate, stop","-3, 3, 3, -1","good","1",0.5,0.5
"31","Bassfield_EF5",2021-08-18 18:51:16,"risks, strong, immune, matter","-2, 2, 1, 1","risks, beat, strong","-1, 1, 1",0.5,0
"32","BeforeYouDo_LLC",2021-08-18 18:19:34,"effectively","2","more","1",2,0
"33","BenHuntley2000",2021-08-18 17:59:32,"better","2","better","1",2,1
"34","bennsintheroad",2021-08-18 17:54:14,"inspirational, like, no, missed","2, 2, -1, -2","record","1",0.25,0
"36","BigWatchLover",2021-08-18 18:44:54,"amazing, better, yes, important, like, no, want","4, 2, 1, 2, 2, -1, 1","better","1",1.57,0.38
"38","bmrjames",2021-08-18 17:53:15,"awful, disgrace","-3, -2","most","1",-2.5,0
"39","BonitaDomEnergy",2021-08-18 17:30:41,"congrats, excellent, thank","2, 3, 2","excellent, down","1, -1",2.33,0.58
"41","BoudiccaBrewing",2021-08-18 18:28:52,"no, problem, drop","-1, -2, -1","drop","-1",-1.33,-0.58
"42","Bowenarrow24",2021-08-18 18:45:23,"warn, drop, fire, like","-2, -1, -2, 2","drop","-1",-0.75,-0.5
"43","bowes",2021-08-18 18:16:30,"good","3","good, work","1, 1",3,1
"44","briannaac__",2021-08-18 17:28:42,"piss","-4","more","1",-4,0
"45","brigantine72",2021-08-18 17:50:57,"lazy, ambitious, pretty, better","-1, 2, 1, 2","minor, better","1, 1",1,0.5
"47","BrittonsEA",2021-08-18 18:00:36,"detached, like, free, agreed, detached, like, free","-1, 2, 1, 1, -1, 2, 1","more, more","1, 1",0.71,0
"49","BroadsNet",2021-08-18 17:42:00,"enjoy","2","enjoy","1",2,1
"50","BshpScottyScott",2021-08-18 18:40:09,"pray, god","1, 1","most","1",1,0
"51","ByronBreckenri1",2021-08-18 18:29:43,"important","2","more","1",2,0
"52","capturedbyscoti",2021-08-18 18:05:58,"good, luck","3, 3","good","1",3,0.71
"53","CharlieKeohane",2021-08-18 19:13:51,"ha, ha, ha, like, messed, huge, help, wish, unified, help","2, 2, 2, 2, -2, 1, 2, 1, 1, 2","more, more","1, 1",1.3,0
"55","ChartwayArena",2021-08-18 18:55:33,"please","1","more","1",1,0
"56","CHSTruckers_",2021-08-18 18:13:40,"happy, enjoy","3, 2","enjoy","1",2.5,0.71
"57","cityofPortsVA",2021-08-18 18:01:25,"awards","3","more","1",3,0
"58","CoastalVARE",2021-08-18 17:41:16,"pay","-1","most","1",-1,0
"59","CooperHurley",2021-08-18 18:00:15,"enjoy, share, shared","2, 1, 1","enjoy","1",1.33,0.58
"60","DailyPowrRangrs",2021-08-18 18:01:17,"wish, no, fair, no, bother","1, -1, 2, -1, -2","bother, down","-1, -1",-0.2,-0.45
"62","daveblev",2021-08-18 18:32:13,"damn, sucks, cuts, pain, hope, better","-4, -3, -1, -2, 2, 2","pain, better","-1, 1",-1,0
