census_tract,current_state_diabetes,min_improvement_diabetes,median_improvement_diabetes,max_improvement_diabetes,current_state_high_bp,min_improvement_high_bp,median_improvement_high_bp,max_improvement_high_bp,current_state_poor_phys_health,min_improvement_poor_phys_health,median_improvement_poor_phys_health,max_improvement_poor_phys_health,mileage_added
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,1.05
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,1.1
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,1.15
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,1.2
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,1.25
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,1.3
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,1.35
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,1.4
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,1.45
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,1.5
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,1.55
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,1.6
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,1.65
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,1.7
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,1.75
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,1.8
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,1.85
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,1.9
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,1.95
51710000202,90.9,0,0,1.6,71,0,0,0.5,87.9,0,1.8,3.7,2
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,0.25
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,0.3
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,0.35
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,0.4
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,0.45
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,0.5
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,0.55
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,0.6
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,0.65
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,0.7
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,0.75
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,0.8
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,0.85
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,0.9
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,0.95
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1.05
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1.1
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1.15
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1.2
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1.25
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1.3
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1.35
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1.4
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1.45
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1.5
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1.55
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1.6
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1.65
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1.7
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1.75
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1.8
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1.85
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1.9
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,1.95
51710000300,90.1,2.5,2.8,3.2,68,1.6,7.8,8.4,87.9,2.6,3.5,4.2,2
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,0.25
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,0.3
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,0.35
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,0.4
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,0.45
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,0.5
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,0.55
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,0.6
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,0.65
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,0.7
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,0.75
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,0.8
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,0.85
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,0.9
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,0.95
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1.05
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1.1
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1.15
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1.2
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1.25
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1.3
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1.35
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1.4
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1.45
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1.5
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1.55
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1.6
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1.65
