census_tract,ct_population,ct_prct_white,ct_prct_black,ct_prct_asian,ct_prct_hispanic,ct_prct_age_5_9,ct_prct_age_10_14,ct_prct_age_15_19,ct_prct_age_20_24,ct_prct_age_25_34,ct_prct_age_35_44,ct_prct_age_45_54,ct_prct_age_55_59,ct_prct_age_60_64,ct_prct_age_65_74,ct_prct_age_75_84,ct_prct_age_85_plus,ct_median_inc,ct_prct_inc_less_than_10,ct_prct_inc_10_15,ct_prct_inc_15_25,ct_prct_inc_25_35,ct_prct_inc_35_50,ct_prct_inc_50_75,ct_prct_inc_75_100,ct_prct_inc_100_150,ct_prct_inc_150_200,ct_prct_inc_200_plus,ct_prct_less_than_9th,ct_prct_9th_12th,ct_prct_high_school,ct_prct_some_college,ct_prct_associates,ct_prct_bachelors,ct_prct_grad,ct_prct_high_school_plus,ct_prct_bachelors_plus,ct_prct_occupied,ct_prct_vacant,ct_prct_home_owner_vacancy,ct_prct_renter_vacancy,ct_prct_home_owner_occupied,ct_prct_renter_occupied
51147930300,7099,0.682913086,0.296379772,0.006338921,0.018735033,0.052401747,0.040850824,0.051274827,0.157064375,0.138047612,0.068178617,0.098746302,0.087336245,0.059867587,0.069587266,0.110297225,0.043527257,52543,0.046019328,0.089277497,0.087436723,0.109986194,0.159226875,0.23423838,0.116889093,0.097560976,0.042337782,0.017027151,0.075666164,0.056812469,0.312468577,0.269984917,0.064605329,0.106586224,0.11387632,0.867521368,0.220462544,0.734121622,0.265878378,0.028,0,0.787390704,0.212609296
51149850100,4524,0.474801061,0.449160035,0.00132626,0.095269673,0.008178603,0.068081344,0.00331565,0.016799293,0.058355438,0.246242263,0.269672856,0.192307692,0.075596817,0.023872679,0.026967286,0.01061008,43281,0.07277628,0.18328841,0.088948787,0.102425876,0.118598383,0.223719677,0.07277628,0.04851752,0.005390836,0.083557951,0.048640167,0.094403766,0.491631799,0.235878661,0.051778243,0.060669456,0.016997908,0.856956067,0.077667364,0.694756554,0.305243446,0,0.255,0.385444744,0.614555256
51149850200,5895,0.506700594,0.334860051,0.021543681,0.19389313,0.114334182,0.113994911,0.123833757,0.107039864,0.078201866,0.220186599,0.161492791,0.042748092,0.013740458,0.009160305,0.005597964,0.006785411,70303,0.028901734,0.01517341,0.014450867,0.066473988,0.110549133,0.304913295,0.179913295,0.216040462,0.054913295,0.00867052,0.021635497,0.018335167,0.149614961,0.34286762,0.137513751,0.256692336,0.073340667,0.960029336,0.330033003,0.937669377,0.062330623,0,0.021,0.046242775,0.953757225
51149850301,6940,0.469596542,0.447550432,0.017579251,0.117291066,0.04610951,0.027233429,0.095100865,0.049855908,0.095389049,0.155763689,0.166570605,0.108069164,0.076945245,0.053602305,0.084582133,0.037752161,54925,0.058041112,0.047561467,0.066908505,0.097541314,0.188230552,0.15719468,0.092704555,0.17815397,0.087867795,0.02579605,0.035061936,0.100356918,0.250472391,0.252571908,0.08587025,0.187276926,0.08838967,0.864581146,0.275666597,0.969140625,0.030859375,0,0,0.551793632,0.448206368
51149850302,4845,0.611145511,0.270588235,0.027657379,0.074922601,0.053250774,0.045614035,0.095562436,0.071413829,0.065841073,0.099690402,0.103611971,0.144066047,0.075128999,0.076573787,0.111867905,0.044788442,93773,0.027725268,0.028355388,0.078764965,0.024574669,0.063642092,0.146187776,0.189666037,0.260239445,0.102709515,0.078134846,0.020691785,0.027486103,0.296788141,0.139283508,0.116738728,0.260963558,0.138048178,0.951822112,0.399011736,0.930791789,0.069208211,0.054,0,0.862003781,0.137996219
51149850400,4666,0.796185169,0.185383626,0,0.04907844,0.042434634,0.024217745,0.055936562,0.048649807,0.046506644,0.07886841,0.130304329,0.136733819,0.091513073,0.091298757,0.133304758,0.109301329,70084,0.032097399,0.018262313,0.068622025,0.084117322,0.132816823,0.214720531,0.125622579,0.240730493,0.068068622,0.014941893,0.042465753,0.064657534,0.447945205,0.196712329,0.099452055,0.100273973,0.048493151,0.892876712,0.148767123,0.960659224,0.039340776,0,0,0.82899834,0.17100166
51149850501,5933,0.7132985,0.230911849,0.012472611,0.01112422,0.048710602,0.06438564,0.051238834,0.041125906,0.04062026,0.140064049,0.125400303,0.16366088,0.070790494,0.070790494,0.122366425,0.050058992,88611,0.018216683,0.008628955,0.032118888,0.059443912,0.119846596,0.210450623,0.104506232,0.199424736,0.112655801,0.134707574,0.006930472,0.052761011,0.331321261,0.247484909,0.102392131,0.173261793,0.085848424,0.940308518,0.259110217,0.900690846,0.099309154,0,0.279,0.895973154,0.104026846
51149850502,5311,0.593673508,0.338542647,0.019205423,0.009414423,0.067595556,0.030879307,0.054415364,0.117491998,0.041423461,0.14159292,0.096591979,0.142346074,0.063076633,0.074562229,0.099604594,0.054038787,75012,0.027359017,0.015075377,0.061418202,0.072026801,0.140703518,0.183137912,0.162479062,0.230039084,0.089335567,0.018425461,0.032284542,0.067031464,0.365526676,0.257729138,0.086183311,0.112995896,0.078248974,0.900683995,0.19124487,0.894158762,0.105841238,0.007,0,0.816862088,0.183137912
51153900100,3318,0.643459916,0.179324895,0.100060277,0.134116938,0.045207957,0.045509343,0.061784207,0.050632911,0.018685955,0.083484027,0.132007233,0.16968053,0.082278481,0.093731163,0.171187462,0.031344183,135625,0.062544932,0.00790798,0.006470165,0.040977714,0.064701653,0.073328541,0.079798706,0.236520489,0.257368799,0.170381021,0.015491867,0.044926414,0.115027111,0.160728118,0.077459334,0.269171185,0.317195972,0.93958172,0.586367157,0.959972395,0.040027605,0,0.13,0.788641265,0.211358735
51153900201,2217,0.560216509,0.285069914,0.038340099,0.389264772,0.041046459,0.082092918,0.052774019,0.100135318,0.081641858,0.130356337,0.164636897,0.140730717,0.049165539,0.084348218,0.055480379,0.01488498,76813,0,0,0.103633917,0.064602961,0.122476447,0.189771198,0.142664872,0.230148048,0.053835801,0.092866756,0.10252809,0.072331461,0.225421348,0.183286517,0.074438202,0.14255618,0.199438202,0.825140449,0.341994382,0.952564103,0.047435897,0.014,0.085,0.666218035,0.333781965
