CENSUSTRACT,BINGE,CSMOKING,LPA,OBESITY
51710000500,0.2,0.22097026604068856,0.27887323943661974,0.3226917057902973
51710000600,0.18034557235421167,0.21036717062634988,0.2691144708423326,0.32332613390928727
51710000700,0.19299935773924212,0.15895953757225434,0.21258831085420682,0.2649325626204239
51710000800,0.23764458464773922,0.20294426919032596,0.26603575184016826,0.3207150368033649
51710000901,0.25268073331027324,0.20062262193012798,0.22621930127983397,0.27637495676236595
51710000902,0.07092009846317611,0.04497372097664826,0.05042911316612334,0.058878318142505486
51710001100,0.2163336229365769,0.2523892267593397,0.3336229365768897,0.3492615117289314
51710001200,0.1671878758720231,0.12100072167428434,0.18138080346403657,0.23334135193649266
51710001300,0.16701607267645002,0.16876310272536688,0.22431865828092243,0.279874213836478
51710001400,0.12831858407079647,0.16592920353982302,0.27876106194690264,0.306047197640118
51710001500,0.20074871314927467,0.1464670098268601,0.2026204960224614,0.2597098736546561
51710001600,0.13561924257932445,0.17246673490276357,0.2645854657113613,0.3193449334698055
51710001700,0.18283220174587778,0.17313288069835112,0.2822502424830262,0.32783705140640157
51710002000,0.15562913907284767,0.1423841059602649,0.2205298013245033,0.25496688741721857
51710002100,0.13955119214586256,0.1514726507713885,0.2608695652173913,0.3071528751753156
51710002200,0.21088825214899715,0.135243553008596,0.20744985673352437,0.2934097421203438
51710002300,0.20191387559808613,0.11435406698564593,0.17464114832535885,0.24449760765550238
51710002400,0.19030765042199838,0.13095562210726927,0.19139667846447045,0.26109447318268447
51710002500,0.18256729536714889,0.18000366233290607,0.23823475553927853,0.26863211865958614
51710002600,0.17076566125290024,0.18863109048723897,0.2545243619489559,0.27053364269141533
51710002700,0.1388888888888889,0.24933065595716197,0.35609103078982596,0.42904953145917
51710002800,0.20574771108850456,0.16480162767039674,0.24059003051881994,0.3229908443540183
51710002900,0.14333591131734982,0.27249291054395464,0.3769012632121681,0.45991234854343904
51710003000,0.2041737168640722,0.20530174844895657,0.28369994359842077,0.36773829667230684
51710003100,0.1576637407157326,0.24307900067521945,0.3534773801485483,0.42707629979743417
51710003200,0.12439613526570048,0.1947463768115942,0.2696256038647343,0.3327294685990338
51710003300,0.1365491651205937,0.23302411873840445,0.3443413729128015,0.424860853432282
51710003400,0.11978465679676985,0.240466576940332,0.35621354867653654,0.42216240466576943
51710003501,0.15527272727272728,0.34436363636363637,0.4949090909090909,0.5818181818181818
51710003600,0.1664050235478807,0.07901622187336473,0.12140240711669283,0.17320774463631605
51710003700,0.2116112747160286,0.15313420277660916,0.19225915018931425,0.2562053007993269
51710003800,2.527737752161383,0.9697406340057637,1.2002881844380404,1.7247838616714697
51710004001,0.1826771653543307,0.08897637795275591,0.13385826771653545,0.19370078740157481
51710004002,0.2024198822759974,0.11739699149771092,0.19228253760627861,0.25735775016350554
51710004100,0.09181365897783808,0.33695160560832205,0.45047489823609227,0.4929895974672094
51710004200,0.0794148380355277,0.29728317659352144,0.4566353187042842,0.47648902821316613
