census_tract, lon, lat
51710000100, -76.2230464178962, 36.9362774000148
51710000700, -76.2538480729843, 36.9332308015373
51710001100, -76.3121629875928, 36.9297549793709
51710001500, -76.2835809007624, 36.9130984439314
51710002600, -76.2972563508774, 36.8859854116475
51710003100, -76.2569890306832, 36.8820185903818
51710003700, -76.2966495443611, 36.8688984901039
51710004100, -76.283005001634, 36.8568691196635
51710004600, -76.2523042559753, 36.8423206080287
51710005100, -76.2596397301322, 36.8319166056922
51710005903, -76.2224587142538, 36.8780309718593
51710006603, -76.209926855809, 36.9217864145461
51710000202, -76.2390367414043, 36.937446206013
51710000300, -76.2533031664897, 36.9509922677382
51710000400, -76.2879189956854, 36.9582716557769
51710000500, -76.2632142478178, 36.9474647299835
51710000800, -76.2687851595018, 36.9385350468877
51710000902, -76.307126513538, 36.9326222281311
51710001200, -76.3049314742968, 36.9106621990274
51710001300, -76.2802494108696, 36.9177821293186
51710001700, -76.2823368829179, 36.9052833312726
51710002200, -76.2802078837757, 36.8970636240698
51710002400, -76.3146227117582, 36.8957761625499
51710002700, -76.294976499816, 36.8762319519283
51710002900, -76.2810743742342, 36.8747195017244
51710003200, -76.2610290704205, 36.872030879413
51710003400, -76.2669296001581, 36.865157152873
51710003600, -76.2874221109882, 36.8657085754369
51710004200, -76.2770156178643, 36.8526407289513
51710004300, -76.2651155323702, 36.8553122690058
51710004400, -76.2539843874136, 36.8558670259381
51710004500, -76.2504782405476, 36.8495761630764
51710004800, -76.2798843310693, 36.8445908213041
51710004900, -76.291123186923, 36.8498762044873
51710005000, -76.2834689266759, 36.8331992980988
51710005500, -76.2613370152009, 36.9235406273145
51710005601, -76.2373043161732, 36.9286879786563
51710005701, -76.2553681871351, 36.9109818771764
51710005702, -76.2497656297389, 36.8983987032334
51710005902, -76.227666961154, 36.8861616521891
51710006000, -76.2432807467881, 36.8871374121511
51710006100, -76.2427374207271, 36.8739533039688
51710006200, -76.2170903834263, 36.8721330553101
51710006501, -76.2078128511801, 36.9322984562733
51710006601, -76.2298185739617, 36.9227679516
51710006602, -76.2208220772291, 36.9233259235845
51710006605, -76.2043976003531, 36.9126551754706
51710006607, -76.216654486643, 36.8969500401495
51710007001, -76.2172122853656, 36.8616943033986
51710007002, -76.2176185588021, 36.8456568640213
51710003501, -76.2765870368629, 36.8615884984706	
