CENSUSTRACT,ACCESS2,CHECKUP,BPMED,CHOLSCREEN
51710000100,0.18015794669299112,0.8302073050345509,0.824284304047384,0.8874629812438302
51710000201,0.14694315337861996,0.6893099749731856,0.6667858419735431,0.7429388630675724
51710000202,0.14035520473606314,0.6805624074987666,0.6766156882091762,0.7301430685742477
51710000300,0.1266282944562254,0.6591941835807331,0.6646470766434414,0.7170554377461376
51710000400,0.1291248206599713,0.6510760401721665,0.6390243902439025,0.7124820659971306
51710000500,0.16025039123630672,0.6960876369327074,0.6820031298904539,0.7348982785602504
51710000600,0.16263498920086394,0.6654427645788337,0.626133909287257,0.6915766738660907
51710000700,0.11207450224791266,0.6592806679511882,0.6483622350674374,0.7283236994219653
51710000800,0.15930599369085174,0.7602523659305994,0.7213459516298633,0.8038906414300736
51710000901,0.17312348668280872,0.6037703216879973,0.325492909028018,0.5582843306814251
51710000902,0.040981970594105514,0.14749517663495443,0.07092009846317611,0.13312487525780053
51710001100,0.2206776715899218,0.7827975673327541,0.712858384013901,0.762380538662033
51710001200,0.09405821505893673,0.612942025499158,0.6035602598027424,0.6658648063507338
51710001300,0.1387141858839972,0.5932914046121593,0.5468204053109713,0.6041229909154437
51710001400,0.13126843657817108,0.6994837758112095,0.7367256637168141,0.741519174041298
51710001500,0.11183902667290595,0.6626111371080955,0.6368741226017782,0.7131492746841367
51710001600,0.16069600818833163,0.6647901740020471,0.6519959058341863,0.6724667349027635
51710001700,0.14791464597478177,0.8234723569350145,0.8225024248302619,0.8724539282250242
51710002000,0.10331125827814569,0.6503311258278146,0.6748344370860927,0.7152317880794702
51710002100,0.10729312762973352,0.7643758765778401,0.8050490883590463,0.8506311360448808
51710002200,0.08424068767908309,0.8034383954154728,0.8143266475644699,0.9277936962750717
51710002300,0.07655502392344497,0.6899521531100479,0.69377990430622,0.7832535885167464
51710002400,0.08004356112169889,0.6662129049823033,0.6784644704601144,0.7500680642526545
51710002500,0.15564914850759934,0.5824940487090277,0.432155282915217,0.48690715986083133
51710002600,0.16450116009280744,0.5916473317865429,0.37099767981438514,0.4839907192575406
51710002700,0.20682730923694778,0.751338688085676,0.7376171352074966,0.7416331994645248
51710002800,0.11724313326551374,0.7706002034587996,0.7833163784333672,0.8446083418107834
51710002900,0.21809744779582366,0.7927300850734725,0.7672080433101315,0.7824181490074762
51710003000,0.14382402707275804,0.7952622673434856,0.8025944726452341,0.8747884940778342
51710003100,0.1914247130317353,0.799459824442944,0.8099257258609048,0.8237677245104659
51710003200,0.15640096618357488,0.6086956521739131,0.597524154589372,0.6189613526570048
51710003300,0.1888682745825603,0.7740259740259741,0.763265306122449,0.7799628942486085
51710003400,0.20592193808882908,0.7375504710632571,0.724540152534769,0.7290264692687304
51710003501,0.292,0.9847272727272727,0.9523636363636364,0.9512727272727273
51710003600,0.06174777603349032,0.5013082155939299,0.5018315018315018,0.5604395604395604
51710003700,0.10222970130416491,0.6058056373580143,0.57593605384939,0.6625999158603282
51710003800,0.9776657060518732,5.063040345821325,2.940922190201729,5.222262247838617
51710004001,0.06141732283464567,0.5779527559055118,0.5803149606299213,0.6606299212598425
51710004002,0.08600392413342053,0.7220405493786789,0.7432962720732504,0.8051013734466972
51710004100,0.2668475802804161,0.7150610583446404,0.6788783355947535,0.6350067842605156
51710004200,0.2607105538140021,0.7324973876698014,0.7351097178683386,0.6750261233019854
51710004300,0.2555870317909978,0.8800755429650614,0.8580421781554926,0.8492288322316651
51710004400,0.14976133651551313,0.6974940334128878,0.6646778042959427,0.7082338902147971
51710004500,0.13890634820867379,0.7020741671904462,0.6901319924575738,0.7265870521684475
